epoch,lr,time_sec,is_best,early_stop_counter,train_loss,val_loss,val_mag_acc,val_mag_mse,val_sign_acc,val_mod_acc,val_mod_loss,mod_acc_2,mod_acc_3,mod_acc_4,mod_acc_5,mod_acc_6,mod_acc_7,mod_acc_8,mod_acc_9,mod_acc_10,mod_acc_11,mod_acc_12,mod_acc_13,mod_acc_14,mod_acc_15,mod_acc_16,mod_acc_17,mod_acc_18,mod_acc_19,mod_acc_20,mod_acc_21,mod_acc_22,mod_acc_23,mod_acc_24,mod_acc_25,mod_acc_26,mod_acc_27,mod_acc_28,mod_acc_29,mod_acc_30,mod_acc_31,mod_acc_32,mod_acc_33,mod_acc_34,mod_acc_35,mod_acc_36,mod_acc_37,mod_acc_38,mod_acc_39,mod_acc_40,mod_acc_41,mod_acc_42,mod_acc_43,mod_acc_44,mod_acc_45,mod_acc_46,mod_acc_47,mod_acc_48,mod_acc_49,mod_acc_50,mod_acc_51,mod_acc_52,mod_acc_53,mod_acc_54,mod_acc_55,mod_acc_56,mod_acc_57,mod_acc_58,mod_acc_59,mod_acc_60,mod_acc_61,mod_acc_62,mod_acc_63,mod_acc_64,mod_acc_65,mod_acc_66,mod_acc_67,mod_acc_68,mod_acc_69,mod_acc_70,mod_acc_71,mod_acc_72,mod_acc_73,mod_acc_74,mod_acc_75,mod_acc_76,mod_acc_77,mod_acc_78,mod_acc_79,mod_acc_80,mod_acc_81,mod_acc_82,mod_acc_83,mod_acc_84,mod_acc_85,mod_acc_86,mod_acc_87,mod_acc_88,mod_acc_89,mod_acc_90,mod_acc_91,mod_acc_92,mod_acc_93,mod_acc_94,mod_acc_95,mod_acc_96,mod_acc_97,mod_acc_98,mod_acc_99,mod_acc_100,mod_acc_101,w_mag,w_sign,w_mod
1,2.2954884127418003e-06,1466.8988809585571,True,0,2.9972482514228664,2.550714063422366,57.73695558430359,2.1461332834454057,93.07977576541613,10.534345263763116,0.9413829980129691,53.40692827368119,35.76599108811269,30.388385798476353,23.21632887738968,21.91059364668679,18.683915480810693,18.766709788702027,15.746442432082794,15.333045853097598,13.993387954578123,14.671841310909874,12.289205117148196,13.112548512289779,13.027454362512577,13.030904125341383,11.112261032054047,12.208710651142734,11.44228834267644,10.605720856691102,10.882851803938479,10.279718269368981,10.564898663216905,10.971395716544489,10.176225384504816,9.98706338939198,9.976139140434096,10.98289492597384,9.617363806238322,9.711082363087538,8.92453643811988,10.645393129222366,8.627856834842605,9.20051746442432,9.811125485122897,10.301566767284749,8.63360643955728,9.484547937329308,7.5728043696995835,10.140002874802358,8.871640074744862,9.37933017105074,8.929711082363086,8.9791576829093,9.267787839586028,8.75319821762254,9.324133965789851,9.417852522639068,8.428345551243352,8.656029897944515,8.865315509558718,8.522064108092568,8.6031335345695,8.461693258588472,8.497340807819462,7.441138421733506,8.925111398591348,7.987350869627713,7.746442432082794,8.937185568492167,8.491591203104786,8.159264050596521,7.434813856547362,8.987782089981314,7.699870633893919,8.220209860572087,8.444444444444445,7.956303004168463,8.468592784246082,8.404197211441714,7.740117866896651,7.99540031622826,8.239183556130516,7.883857984763548,7.8487853960040255,7.930429782952422,7.7757654161276415,6.938048009199367,8.192611757941641,7.874658617220066,7.960902687940203,7.721144171338221,6.751760816443869,7.681471898806958,8.641655886157826,7.360068995256576,8.086244070720138,7.250826505677735,8.073594940347851,7.661348282305591,8.024148339801638,8.145464999281298,7.70217047577979,7.73321834123904,8.285755354319392,7.636050021561018,7.8338364237458675,8.241483398016387,7.4859853385079775,7.587178381486273,7.686071582578697,1.0,1.0,2.0
2,3.1746775341284927e-06,1473.4248242378235,True,0,2.4369856142067396,2.269388378984853,64.33457800894095,1.299389756324558,93.73960772581081,13.10611770527079,0.9085046363098935,53.93626263614239,37.829316425690564,32.86461419850754,26.535755176719007,25.367793011788937,21.228143860719072,21.930071861317437,18.87841111117504,18.18914082862025,16.60750142399328,17.28641539178514,15.441840662343864,15.54712986243362,15.502252498460937,16.392320217252472,13.979874228310713,14.600677763266152,13.45170217540145,13.911407480711363,13.432715598336085,13.066792476712674,12.589251295977721,14.067327552975426,12.816514869941948,12.654265938656096,12.579470332034958,13.091532561979665,11.689402613243425,12.810761361740322,11.470769301581639,13.329152450706818,12.126669236566997,11.733129275575783,12.033462403700657,12.669800410800486,11.257314147301317,11.402877904802454,11.18021713739953,12.160039584136427,11.011063996271726,11.85452829863009,11.212436783328634,11.340164665404732,11.698608226366026,10.913254356844087,10.948350756874003,12.179026161201794,10.706128061585552,11.218190291530261,11.091613111094489,11.047886448762133,10.740649110795307,11.463865091739688,10.932816284729615,11.029475222516929,10.828677786280185,10.66125069761287,10.28439591040637,11.502413596690582,10.413274494122792,10.677935871397585,10.9161311109449,11.902282416703585,10.96733733393937,10.806814455114006,10.347109149804092,10.83443129448181,10.402342828539703,10.904048743721484,10.080721720068812,11.082407497971888,10.295327575989461,10.24009389725385,10.691744291081488,10.513385536831082,10.452398349893848,10.424781510526044,10.148613116847999,11.003584435609612,11.039256186459694,10.223408723469134,10.073817510226862,11.03407802907823,10.307409943212873,9.953569188812878,10.12905118896247,10.409822389201816,10.27979310384507,10.830979189560836,10.394863267877588,10.234915739872386,10.144010310286697,9.99154234294361,10.364945025229133,10.576674127048967,10.004200060987186,10.484617995822953,10.496700363046367,10.260231175959541,9.966226906856456,1.0,1.0,2.0
3,4.6159181809952e-06,1462.2841420173645,True,0,2.24064522756,2.1278967510418787,75.40625897215044,0.9894172876660864,93.95291415446454,13.593844387022681,0.8927977018500651,55.657766293425205,38.76198679299455,33.63422337065748,26.962388745334483,26.05857019810508,21.82658627619868,22.38989376973873,20.021246052253804,18.30318690783807,17.194946884869367,18.468561584840653,15.731266149870802,16.463967843812803,16.14872236577663,17.088142405971862,14.27390180878553,15.821992535170828,13.72609819121447,14.440999138673558,14.214183175423486,13.38960666092449,12.870513924777491,14.729256388171116,13.203560149296584,12.94171691070916,13.219638242894058,13.29256388171117,12.128050531151306,13.511340798162502,12.01492965834051,14.052828021820272,12.47143267298306,12.220499569336779,12.535170829744475,13.207579672695951,11.560149296583406,11.835199540625897,11.757680160780936,12.772322710307208,11.43784094171691,12.300315819695665,11.13006029285099,11.724375538329026,12.068906115417743,11.132931380993396,11.170255526844674,12.470858455354579,10.953775480907264,11.757680160780936,11.424633936261843,11.354579385587138,11.017513637668676,11.829457364341085,11.306345104794717,12.027562446167098,11.16795865633075,11.172552397358599,10.710307206431237,12.22107378696526,10.569049669824864,10.919896640826874,11.761699684180304,12.568475452196381,11.267872523686478,11.07723227103072,10.443296009187481,11.217915590008614,10.872810795291416,11.449325294286535,10.673557278208442,11.627906976744185,10.454206144128625,10.708584553545794,11.410278495549814,10.71088142405972,11.134079816250358,11.166810221073787,10.578237151880563,11.467700258397933,11.38443870226816,10.614412862474879,10.351421188630491,11.445879988515648,10.861326442721792,10.072925638817113,10.55813953488372,10.918748205569912,10.385300028710882,11.469422911283376,11.03416594889463,10.693654895205283,10.527706000574218,10.41803043353431,10.676428366350848,11.564743037611255,10.26414010910135,10.727533735285673,10.956072351421188,10.868791271892048,10.229687051392478,1.0,1.0,2.0
4,6.583721194081791e-06,1467.9605176448822,True,0,2.1262030552901288,2.091350531966639,78.27649452627959,0.8899568977100143,93.86427466040007,14.080701553275635,0.8968858709157693,55.02779847538258,39.077778414627154,34.01902905943715,27.3451023098527,26.65730498079899,22.160256777669513,22.88129764429415,20.551957356565598,19.136814352037597,17.52736860205193,19.335702413022297,15.937983607496992,16.612024989969623,16.952484667851206,17.64945262795896,14.564681607153092,16.16954204161174,14.105003725568865,15.267381211669628,14.730899295007738,13.936493379950706,13.163867713647045,15.508683441279302,13.706081274717716,13.328939072619935,13.811543531839284,13.871725798131484,12.272597008081618,14.348025448501176,12.223878030606981,14.650083108843928,12.970138132630252,12.52708201983149,13.06356393649338,13.937066544391586,11.80776064652949,12.231329168338396,12.275462830286008,13.299134521694276,11.824382415314954,12.912248524101566,11.45984983091649,12.38894938957987,12.864102711067805,11.662176878546456,11.501117670659712,13.256147188628416,11.748724709119045,12.532813664240269,11.839857855218662,11.793431535507537,11.400240729065167,12.572935175101737,12.066257809365508,12.591276437209837,11.528056399380983,11.323436693987505,11.070671175560268,12.930016621768786,11.145182552874418,11.170401788273056,12.2783286524904,13.224049979939245,11.698859402762652,11.911503410328423,10.860892990198888,11.516019946122542,11.208230641371008,12.161976270992147,11.0253911847309,12.423339256032556,10.939989683040064,11.048890926806902,11.812919126497393,11.251217974436866,11.588811830114059,11.638677136470452,10.890697541124549,12.32876712328767,11.913796068091935,10.921075256491088,10.797844901702298,11.907491259242278,11.31942454290136,10.750845417550295,11.027110678053534,11.542385510402935,10.66257809365507,12.069696796010776,11.494239697369176,11.128560784088954,10.870636785693815,10.777210981830688,11.140597237347395,12.176878546454978,10.647102653751361,11.118816988594029,11.38476528916146,11.548690319252595,10.83624691924113,1.0,1.0,2.0
5,9.029631324311132e-06,1474.0731117725372,True,0,2.060833300520809,2.0047948125910287,83.69977343135895,0.8910700006547161,93.77340823970037,14.748173579322145,0.8663085746959425,54.507097609469646,39.57957645535673,34.088754797244185,27.39457622416424,26.686549220881307,22.125699357284876,23.01232255976326,20.54896656956582,19.18319692976372,17.7815924538771,19.692398390900266,16.41408887039349,16.92733620012022,17.23829010033754,18.258426966292134,15.007860544689509,16.565519951911963,14.448952698016369,15.932052526933926,15.469089563970961,14.458778378878254,13.75190733804966,15.929162620798076,14.222384056965831,13.783696305543996,14.520044388958247,14.395200443889584,13.028852822860312,14.791117584500855,13.006889536227865,15.333263975586073,13.46638461182781,13.223054515189347,13.677925740971933,14.506172839506174,12.41156887224303,12.928284089332779,13.19068756646784,14.205622601377907,12.457807370416608,13.821843066537198,12.25146807231701,13.094164701530495,13.531696490497987,12.421394553104916,12.061890229805336,13.935127387062469,12.573403615850557,13.066999583853518,12.537568779766033,12.669926480787904,11.979816895547232,13.28547648772368,12.687265917602996,13.208604984510103,12.408100984880011,12.131247977065705,11.971725158366857,13.57273315762704,11.96478938364082,11.985018726591761,13.031742728996162,14.090026355943957,12.550284366763767,12.727146622277708,11.861330743977435,12.217945161141166,12.07518379803024,12.92481620196976,11.677532713737458,13.469852499190827,11.772321634993295,11.908725204605354,12.50288990613585,12.124312202339668,12.466477088824155,12.458963332870947,11.69602811300689,13.168146298608221,12.819045637397696,11.763651916585749,11.702963887732928,12.880889628704859,12.183266287510982,11.78734914689971,11.901211448652148,12.430064271512462,11.674642807601609,12.868752022934297,12.238752485319276,11.955541684006104,11.826073889120082,11.722037268229528,11.936468303509502,13.143293105839923,11.616844684884635,12.190202062237018,12.204073611689093,12.431220233966801,11.505872289268044,1.0,1.0,2.0
6,1.1893420396509023e-05,1471.5634791851044,True,0,2.015228893531917,1.9508208322302982,85.35196359850207,0.882706323339627,93.96970760301198,16.161822145778565,0.851078818160802,56.68463348270526,40.00425681233785,35.7359395762746,28.028808265118876,27.730831401469175,23.174891710145594,24.652695885273154,21.733903209291356,20.81351135245831,19.025074925649594,20.88541696627339,17.550146975074636,18.1311443347005,18.567179976875153,19.61700193857535,16.295537825229093,18.095479150248217,15.726620608724165,17.283808581503575,16.617674975120657,15.713389975782189,15.136419330529973,17.454081075017687,15.636307157772421,15.258371251560352,15.833040917170486,15.759984813534361,14.39607913068989,16.27770523300295,14.409309763631867,16.7413526308826,14.826937568669862,14.60546827811941,15.062212737072809,15.988357043011062,13.949113835215343,14.25456888270181,14.53528839903589,15.498823624157984,13.794372954285286,15.227308026392237,13.72591880993333,14.542766582872657,14.908622345963792,13.789195750090602,13.635605358981588,15.717991935066355,13.883535915415987,14.524933990646518,14.045179735272292,14.253418392880768,13.506175254114439,14.815432670459447,14.063012327498434,14.647461156587415,13.854773669889955,13.579231357750562,13.394577741473432,15.039778185562502,13.476262518767365,13.56772645954015,14.463382785220807,15.622501279919925,13.961769223246797,14.17518508504996,13.353735352826465,13.839242057305897,13.341655209705532,14.252843147970248,13.070714856850305,14.99260810289981,13.240987350364417,13.328999821674078,14.039427286167086,13.723042585380727,13.840392547126939,14.019293714298865,13.24386357491702,14.57037833857765,14.137794165866119,13.221429023406717,13.196693492254328,14.394353395958328,13.723617830291246,13.308866249805854,13.34740765881074,13.951414814857428,13.04195261132427,14.233284821012546,13.853623180068913,13.380196618710416,13.274926800085135,13.069564367029262,13.34798290372126,14.70383515781844,13.07646730595551,13.53378700981943,13.628127175144819,13.995133428056993,12.99708350830366,1.0,1.0,2.0
7,1.5104570370061202e-05,1470.7987096309662,True,0,1.9803405599880164,1.9285316631041804,86.2635496479826,0.9473974483182093,94.09197929918889,16.85489859711133,0.8399925105646686,56.44079602562848,40.34988745804862,35.6329117567482,28.936233903046983,28.267314478478873,23.98438804234571,25.49262288947862,22.588982977670067,22.087005578166284,19.869554955587667,21.865951310494896,18.611733146051247,19.117740180642784,19.44414062275132,20.602372879404534,17.40053997110176,19.026785560090495,16.78458146482992,18.384346594670518,17.743634615716726,16.865174166585113,16.213524606678835,18.448820756074674,16.444940793147317,16.226189174097506,16.983184908440936,16.798397356559384,15.442712980605942,17.195028581626016,15.138763362557784,17.781052655817355,15.782353652288544,15.577417924968195,16.085727608181312,16.8363910588154,14.844600001151322,15.157760213685792,15.350607035742863,16.383920604675527,14.550436639744865,15.99189467685205,14.556193261298809,15.278649266318583,15.875035259307019,14.777823191125592,14.218855238237783,16.455878374099807,14.63908861167558,15.294192144514227,14.675355327465416,15.01902563423578,14.14804879312429,15.4168081836132,14.920011743507969,15.304554063311324,14.468116951523491,14.170499617184667,13.88900082319688,15.669523869831274,14.033492024200836,14.088755591118684,15.08004582270757,16.12775094552509,14.585552031223914,14.763431637240737,13.73817733848359,14.28332939964194,14.196980076332801,14.899287905913777,13.703637609159935,15.568207330481886,13.643768744998935,13.811862094374053,14.612032490372052,14.223460535480935,14.228065832724091,14.454876721949422,13.662765596126944,14.995423485864615,14.77494488034862,13.640890434221964,13.682338109410349,14.757675015686795,14.161289022698359,13.649525366552878,13.730118068308073,14.422639641247345,13.630528515424867,14.75191839413285,14.283905061797334,13.958655943999585,13.711121217180061,13.676581487856406,13.936780782094605,15.133582403159235,13.38529643722692,13.975925808661414,14.245335697385919,14.32995803422887,13.442862652766344,1.0,1.0,2.0
8,1.8584009777570935e-05,1466.827157497406,False,0,1.9517313804158514,1.9454011194087018,81.26453747149938,0.7958017246415319,94.17007908384495,17.111475485156703,0.8356113870984878,56.82895031558877,40.882385035521686,36.53018912353046,29.655580378936246,29.313285741360794,24.786496591411623,26.263072955852035,23.40123708498211,22.82634290341663,20.893182248921715,22.552392329383927,19.344241581906626,19.92258168264233,20.034574055674568,21.000005743198617,18.014691102062383,19.384443972225892,17.29047375645392,18.839414423469005,18.069825808785943,17.48229659026298,16.539263377345378,18.81127275024552,17.00733406463396,16.64608687162228,17.138278993102418,17.033178458410628,15.661702628662008,17.528816499060987,15.336637586937668,17.935434961147262,16.035584858631164,15.523291541991396,16.425548044728032,16.913719927176242,14.963329676830215,15.253935526852324,15.488832350289169,16.375007896898097,14.687081823350697,16.159063628897478,14.662386069297433,15.393495253246343,15.905214250024407,14.729007173255074,14.402219171945625,16.511696023983596,14.864546660617165,15.401535731310195,14.909343609830058,15.077045009447563,14.14951843279596,15.534203619363767,14.984579511713253,15.45667043803376,14.639987594690988,14.402793491807328,13.908304090880375,15.830552668002918,14.031782861146688,14.22245705523234,15.135625635341347,16.4060211694301,14.753702927308336,14.931167764574802,13.829622269826958,14.472286195073483,14.281037681126127,15.077045009447563,13.932999844933638,15.539946817980807,13.748643169326725,13.888777215582445,14.78356756011693,14.355124943285913,14.236815051774935,14.522252023041712,13.828473630103549,15.267144883671513,14.923127286510947,13.808372434943916,13.672832947581826,14.967924235723846,14.355699263147617,13.72050149610324,13.916918888805933,14.57049489142483,13.7147582974862,15.020761663000592,14.360293822041248,14.14779547321085,13.894520414199485,13.639522395603008,14.143775234178923,15.25450984671403,13.56715809302833,14.221882735370636,14.334449428264579,14.560731453775865,13.564860813581516,1.0,1.0,2.0
9,2.2246060783391863e-05,1471.3200469017029,True,1,1.9285859558980827,1.901574130247025,85.13479379075962,0.8632284949346385,94.19950399559107,17.597134196748417,0.8246497930275825,57.42915862955819,40.98810507945256,36.98332874069992,29.899191696518784,29.534651419123726,25.147538348489025,26.8720721961973,23.543561127950767,23.022297235234685,20.76731422797832,22.858110590612657,19.55371084780013,20.24777257279324,20.279346927528245,21.348856434279416,18.174198585468908,19.773009093414164,17.56567465784881,19.19146688711307,18.1294204096629,17.4870258105998,16.682166804445668,19.036465509323044,17.286672177826766,16.903187287590704,17.522618719573803,17.468081197758796,15.991549554514558,17.855584642233858,15.649398365022504,18.340681546798933,16.357237990263616,16.193625424818592,16.830853311288692,17.540989253237807,15.36809956829246,15.68958390741251,16.075365114356572,17.05417011114173,15.143060530908423,16.68561127950767,14.996670340773399,15.973179020850555,16.326811793882612,15.30265454211445,14.807798291540369,17.175300817488747,15.321025075778453,15.970882704142555,15.486359878754477,15.714269312023516,14.690686139432351,16.158032515844585,15.585101497198494,16.109809864976576,15.182097914944428,14.846261596399376,14.598259391935336,16.470331588132638,14.608018737944336,14.76244603655736,15.81530724717553,16.842334894828696,15.369821805823458,15.433544594470469,14.451295122623312,15.102300909341416,14.829039221089374,15.675806007164509,14.50296224855332,16.19477358317259,14.407091025994307,14.497221456783318,15.32159915495545,14.977725727932398,15.031689170570406,15.257302287131441,14.44325801414531,15.903141361256544,15.480045007807478,14.3697758794893,14.251515569027282,15.651694681730504,14.87037292183338,14.400776155047303,14.43120235142831,15.07704142555341,14.288256636355287,15.689009828235509,14.984040598879398,14.69011206025535,14.468517497933314,14.300312299072287,14.661408101405346,15.922085974097547,14.262423073390282,14.802631578947366,14.969688619454393,15.295765591990449,14.233719114540278,1.0,1.0,2.0
10,2.600054891759985e-05,1465.9281647205353,True,0,1.9102091184694128,1.898307226728366,87.14766355140186,0.8255383746505727,94.36606757728254,17.347945363048165,0.8354362431865909,57.28655643421998,41.44126527677929,36.743637670740476,30.078504672897193,29.47174694464414,24.996693026599566,26.454636951833216,23.771099928109273,22.68411214953271,20.804025880661396,22.7548526240115,19.47375988497484,20.063838964773545,20.15355859094177,21.260675772825305,17.993961179007908,19.65722501797268,17.336592379583035,18.973400431344356,18.114162473040977,17.5568655643422,16.538892882818114,18.90611071171819,17.077210639827463,16.87706685837527,17.319338605319913,17.15197699496765,15.803882099209202,17.571818835370237,15.606613946800863,18.250467289719627,16.29043853342919,15.879223580158158,16.360028756290436,17.242846872753415,15.021710999281094,15.424874191229332,15.80158159597412,16.84428468727534,15.017685118619697,16.40373831775701,14.74392523364486,15.69863407620417,16.147232207045292,15.004457225017973,14.500071890726096,16.776419841840404,15.014809489575844,15.650323508267434,15.128684399712435,15.350682961897915,14.437958303378865,15.869446441409057,15.321926671459382,15.63997124370956,14.891732566498922,14.645578720345076,14.327534148094895,16.127102803738318,14.369518332135153,14.433932422717469,15.453630481667865,16.591804457225017,14.926240115025161,15.247735442127967,14.276347951114307,14.731847591660676,14.401725377426311,15.300071890726096,14.102659956865566,15.90682961897915,14.027893601725378,14.187203450754854,15.006757728253056,14.505248023005032,14.585190510424157,14.962473040977715,14.045147375988499,15.531272465851906,15.156865564342201,14.109561466570813,13.945650611071173,15.205751258087707,14.456362329259525,14.095183321351545,14.247591660675774,14.911861969805894,14.016391085549964,15.344931703810207,14.765204888569375,14.171675053918046,14.189503953989934,13.90884255930985,14.34881380301941,15.651473759884974,13.894464414090582,14.506398274622573,14.673759884974839,14.944069015097053,13.91919482386772,1.0,1.0,2.0
