epoch,lr,time_sec,is_best,early_stop_counter,train_loss,val_loss,val_mag_acc,val_mag_mse,val_sign_acc,val_mod_acc,val_mod_loss,mod_acc_2,mod_acc_3,mod_acc_4,mod_acc_5,mod_acc_6,mod_acc_7,mod_acc_8,mod_acc_9,mod_acc_10,mod_acc_11,mod_acc_12,mod_acc_13,mod_acc_14,mod_acc_15,mod_acc_16,mod_acc_17,mod_acc_18,mod_acc_19,mod_acc_20,mod_acc_21,mod_acc_22,mod_acc_23,mod_acc_24,mod_acc_25,mod_acc_26,mod_acc_27,mod_acc_28,mod_acc_29,mod_acc_30,mod_acc_31,mod_acc_32,mod_acc_33,mod_acc_34,mod_acc_35,mod_acc_36,mod_acc_37,mod_acc_38,mod_acc_39,mod_acc_40,mod_acc_41,mod_acc_42,mod_acc_43,mod_acc_44,mod_acc_45,mod_acc_46,mod_acc_47,mod_acc_48,mod_acc_49,mod_acc_50,mod_acc_51,mod_acc_52,mod_acc_53,mod_acc_54,mod_acc_55,mod_acc_56,mod_acc_57,mod_acc_58,mod_acc_59,mod_acc_60,mod_acc_61,mod_acc_62,mod_acc_63,mod_acc_64,mod_acc_65,mod_acc_66,mod_acc_67,mod_acc_68,mod_acc_69,mod_acc_70,mod_acc_71,mod_acc_72,mod_acc_73,mod_acc_74,mod_acc_75,mod_acc_76,mod_acc_77,mod_acc_78,mod_acc_79,mod_acc_80,mod_acc_81,mod_acc_82,mod_acc_83,mod_acc_84,mod_acc_85,mod_acc_86,mod_acc_87,mod_acc_88,mod_acc_89,mod_acc_90,mod_acc_91,mod_acc_92,mod_acc_93,mod_acc_94,mod_acc_95,mod_acc_96,mod_acc_97,mod_acc_98,mod_acc_99,mod_acc_100,mod_acc_101,w_mag,w_sign,w_mod
1,2.2954884127418003e-06,1633.6203300952911,True,0,4.837266160814166,4.169013932364645,55.05000372948068,3.9251690184810055,93.59963737972424,13.022503112681955,0.9308049182675354,57.89129424455065,39.18249783403237,33.27614796284289,27.23209418946909,26.120135179330646,21.378530814116946,22.091148507920842,20.153539850935527,20.478865319846,17.159627510944592,16.914055552049206,16.43323942692226,16.024717850442087,15.100954173288885,16.90774412319909,14.115797506411838,14.04579802280147,13.206951751995271,14.52833544670572,13.912110484430853,13.955142953863456,12.692857183840447,14.631613373343969,12.162123394171683,12.241303137927671,12.486301330563956,12.548841852806003,12.235565475336657,11.7920441570513,11.536718171751193,14.175469197358382,11.842535587852222,12.285483139878476,11.46040725929071,13.208099284513475,11.755896882727916,12.288351971173983,10.88147710385743,12.24072937166857,10.894673727816762,12.094418975597721,11.568849082260868,10.629019949852829,10.272711102950879,9.235341706495607,11.424833751226425,12.49662912322778,11.189015818735763,11.49368570231859,11.283687251487489,10.320907468715394,11.724339738477338,11.658356618680681,10.947460223654087,9.663945102044329,11.014590875968947,9.611732372466104,10.710494758645222,10.542381244728523,10.521151893141772,9.889435241871167,11.144835816784958,11.411063361007992,10.131564603211944,9.465421976395257,9.89115654064847,8.208873868963263,10.911886715589802,11.924584162903717,10.152793954798694,10.806887490174253,10.471807994859054,8.700017786754032,10.701888264758702,9.554355746555968,9.562388474183388,10.514840464291657,10.026565377796395,10.139023564580262,10.389185653548457,8.665018044948848,10.612954494597991,10.342710586561246,10.696724368426791,10.308284611015164,11.180983091108345,10.952050353726898,10.755822293114232,11.327867253438294,11.201638676435993,8.067153602965224,8.852065845415895,10.281891363096502,10.479266956227372,9.301324826292264,8.923212861544464,8.266250494873399,5.917251430112401,10.422464096576336,9.824025888333612,1.0,1.0,2.0
2,3.1746775341284927e-06,1649.875705242157,True,0,4.082381558473817,3.878308996471454,57.22019163140357,3.3461935912922667,93.76794382501816,15.400206390019486,0.8927633933748994,64.75458035951065,41.96981401837909,39.568079881008664,28.482399197500257,30.190593688385658,22.919092806327757,26.63296014020685,21.4034521325047,22.289545596052072,18.08910514360825,21.42478294457448,16.943006376183284,18.55204141636592,17.257203472886808,19.962181046708714,15.497123222912752,17.856772244577936,14.49630458093602,17.164962123395867,16.329024893634195,15.40834092402772,14.299715204833447,17.016799455776038,14.619677385880156,14.698659041381775,14.572980202700366,15.478098444580244,13.63730701380161,15.207139480450598,13.204349179628498,16.30538804782714,13.930173298435356,14.09793725282201,13.377301709924016,15.527678169931628,12.940308316710675,13.31849784962354,13.21818538205214,14.766687036631346,12.654936641723069,14.502069665279201,12.763896735809244,13.757797276574157,13.758950293442792,13.229139042304189,12.547706072939846,14.41386387482849,12.918977504640894,13.41535126658903,12.470453942741182,12.780038971970159,12.509080007840515,13.900194859850801,12.699327791165585,13.680545146375492,12.544247022333938,12.712010976720588,12.081310749576266,13.58023267880409,12.209295621994949,12.149338744825837,12.681456029701716,14.297409171096174,12.566730851272354,13.214726331446231,11.78902097337684,12.389742761936608,12.309031581132032,13.080976374684361,12.068051055586944,13.618282235469103,11.983880824176458,12.149915253260154,12.698751282731266,12.232355959367686,12.523492718698476,12.512539058446425,11.784408905902295,13.270647649575112,12.590944205513727,11.995987501297144,12.048449768820117,13.147274844630976,12.435863436682078,11.751547925146145,12.093993935131271,12.935696249236125,11.900287101200291,13.356547406288556,12.535022887384843,11.970044621752816,12.18796480992517,12.07669868210172,11.987339874782368,13.21760887361782,11.61030335873814,12.226014366590183,11.747512366105916,12.89534065883384,11.45176353930058,1.0,1.0,2.0
3,4.6159181809952e-06,1650.9212045669556,True,0,3.8285378885949566,3.755260457259812,62.21483738315604,3.616677278105491,93.37034711943282,16.33231199857167,0.8644689381191978,65.73613854828399,43.20994764699445,40.82324957236406,29.492769065075535,31.664641275362985,23.60377586693467,27.447027858249484,22.578025560246274,23.187946713970593,18.89603695235243,22.62928427854794,17.895052093832252,19.678164361944145,18.332766991689176,20.870361517949192,16.247861820318036,19.31532174924696,15.355729745607013,18.102390729659216,17.091614880002766,16.40970114439408,14.907647915958739,18.378842244095168,15.68574374096493,15.710509189133152,15.875804157139648,16.469598972521872,14.074261788065357,16.891763472691775,13.899751769577662,17.203347367087297,14.997494658150423,14.588000852392168,14.806858301320633,16.53640808851056,13.35548785053188,14.217095070523932,14.20500031676736,15.60683987121967,13.456853405825065,15.138600118643774,13.331298343018736,14.64905056183011,14.721043143714471,13.795506511009107,13.263913286374972,15.764647610710192,13.463764693685961,14.088084363787157,13.398683399662497,13.902055532197963,13.019714448623212,14.781516912497336,13.729849276330567,14.55402035374275,13.42460072914087,13.387164586561001,13.072700988890103,14.946235939848759,12.941962460188103,13.251818532618397,14.009180494041896,15.30735073058072,13.608325798109764,14.085780601166856,12.743838874842336,13.547276088671822,13.131446935707745,13.985566927183823,12.939658697567802,14.727378490920294,12.807768287555652,12.941386519533026,13.6855018458898,13.4009871622828,13.317475767296937,13.309988538780965,12.643049260204227,14.044312874001463,13.811056908696129,13.005891872901415,12.75362986597861,14.185418334494814,13.163699612391937,12.910285724158982,12.83829314227462,13.672831151478151,12.678181640163796,14.08520466051178,13.214382390038532,13.00646781355649,12.770908085630856,12.838869082929694,12.766300560390256,14.449775095174195,12.5128866721573,13.152756739945515,13.033537024345012,13.650945406585304,12.432254980446816,1.0,1.0,2.0
4,6.583721194081791e-06,1648.8397710323334,True,0,3.647014263034492,3.5885678034306125,69.22585913419516,2.6809820927247316,93.27011547131619,16.996555412430418,0.8454935908733896,66.54207112297004,43.97340939412062,41.45983806413028,30.265215991167132,32.867345999908,24.025854533744308,28.159934673598013,23.29610801858582,23.606638450568155,19.626098357639048,23.690596678474492,18.350048304733864,20.30006440631182,19.22815935961724,21.210378617104475,16.500092009016885,19.660601738970417,16.017044670377697,19.076919538114737,17.767516216589225,16.97911395316741,15.523646317339098,19.093021116069377,16.18553618254589,15.785872015457514,16.55184708101394,16.877328978239866,14.614482219257487,17.23213874959746,14.578253668859547,17.729562497124718,15.559874867737038,15.105580346873992,15.234968026866632,16.886529879928233,14.176289276349083,14.74271978653908,14.761696646271336,16.089501771173577,14.041151032801213,16.022795233932925,13.814578828725216,15.087178543497263,15.31950131112849,14.070478906932879,13.79502691263744,16.473064360307312,14.362607535538482,14.883033537286655,14.25449694070019,14.652435938721995,13.535676496296636,15.26257073193173,14.403436536780603,14.977342779592401,14.227469291990616,14.130284767907256,13.607558540736992,15.533997331738512,13.63573630215761,13.976744720982657,14.739844504761468,16.010143994111424,14.302226618208586,14.620232782812714,13.591456962782352,14.41263743846897,13.95316741040622,14.795624971247182,13.543152228918434,15.471891245342043,13.376385885816811,13.62941068224686,14.437939918111976,14.069328794221834,14.023899342135529,14.172263881860422,13.49369738234347,15.054975387587985,14.68578920734232,13.711068684731103,13.301628559598841,15.061301007498734,13.742696784284862,13.651262823756728,13.593757188204444,14.267723236877213,13.381561393016517,14.763996871693427,14.034825412890465,13.79732713805953,13.419515112481022,13.59088190642683,13.537401665363205,15.309725353084602,13.244122924046556,13.84160647743479,13.973294382849518,14.337305055895477,13.31140451764273,1.0,1.0,2.0
5,9.029631324311132e-06,1649.902480840683,True,0,3.5056170469012176,3.3515471182546737,67.50181136502168,2.1809410628652115,93.39570562730734,18.042293935664915,0.8253524770420283,66.76288944347965,44.70333866200504,41.998941932812734,30.083610309254638,33.54820531103725,24.52588239353199,28.902485307817045,23.889316971627697,24.03365113684719,20.095801083368794,24.713344297362884,18.759416222930156,20.907752642292785,20.402870582281977,21.79330887511357,17.341376177387264,20.666812342583754,16.85604535888029,19.682924865728975,18.23958321353406,17.71629998504905,16.103322560982622,19.946866626030754,16.795666524824327,16.726662143046084,17.213143034582696,17.669146990833916,15.415578889259468,18.461547308254076,15.424779473496567,18.50294993732102,16.354038481443574,16.066520224034225,16.550125932996746,17.921588020839323,14.929673034237675,15.848581384917942,15.78820255086198,17.310899242101875,14.840542374440776,16.967602442755116,14.806040183551655,16.30228519510989,16.581177904796952,15.28274545433635,14.7519867511587,17.47650975836966,15.316097572195833,16.222930156064912,15.433405021218846,15.926786350933284,14.727260181021496,16.54840082345229,15.705397292728088,16.32126140009891,15.294246184632723,15.034329679934677,14.686432588469367,16.898598060976873,14.612252878057758,15.06768179779416,15.910110292003543,17.46270888201401,15.44548078803004,15.99004036756334,14.787063978562639,15.720348242113374,15.029154351301308,15.84455612931421,14.723809961932583,16.7640395165093,14.871019309726169,14.876769674874355,15.712872767420732,15.354625018688687,15.261469103288059,15.646743568216582,14.663431127876619,16.379340088095596,15.749675104369127,14.850317995192693,14.625478717898588,16.432818483973733,15.153362238502144,14.911271865763476,14.996952306471462,15.772101528447054,14.642154776828328,16.225230302124185,15.33622385021449,14.969350553760163,14.678957113776725,14.85721843337052,15.026279168727214,16.53114972800773,14.600752147761384,15.184414210302355,15.396602684270452,15.70482225621327,14.683557405895275,1.0,1.0,2.0
6,1.1893420396509023e-05,1645.791285276413,True,0,3.369177129061054,3.215581664384036,69.89629919177752,2.2578602420671237,93.52559754429129,18.999931019418035,0.8081997988942894,67.32907186626964,44.983962014692864,42.79037950816845,31.033214150216715,34.088479093135284,25.306101332474906,29.75247467837804,24.194939124636413,24.973270024488105,20.65278624067325,25.519366298387002,19.330083581471815,21.303503063887515,20.954001448592223,22.687138570492408,17.98093836585001,21.56045573171152,17.412998240995158,20.419401938354355,18.896655591451005,18.546004299789608,16.805969119692808,20.675204929812256,17.665352203354757,17.765948885388763,18.087283429714535,18.74662282567457,16.10466653637001,19.396189972522734,16.169048412871774,19.533001460088986,17.30032995711707,17.157195249537256,17.368160862717144,18.915050413308656,15.907497039583356,16.708246628574056,16.82781297064876,18.404019268575897,15.77183522838321,18.116025338867107,15.875880939515527,17.26871385704924,17.527965877605453,16.47486232625516,15.873006748600268,18.67936675825755,16.351846955082145,17.3698853772663,16.42887527161104,16.907715478092918,15.79942746116968,17.59349743047332,16.742162081374094,17.485427852059647,16.35414630781435,16.128809740058173,15.689633368206849,18.147066600751888,15.579264437060965,16.294363136776997,16.977845736425195,18.34768512663685,16.39668433336016,16.976121221876042,15.718375277359423,16.71801887768593,16.121336843678506,17.055448891137146,15.741368804681482,18.00335705498902,15.740219128315381,15.991998252491923,16.69847437946218,16.52084938089928,16.25584897851255,16.730090479530013,15.635598579000012,17.49060139570711,16.996240558282842,15.911520906864718,15.663190811786482,17.3296467044527,16.301836033156665,15.971878916085123,16.085696876329315,16.824363941550455,15.608006346213541,17.291132546188248,16.480610708085674,16.208137409319274,15.878180292247732,15.947735712396959,16.085696876329315,17.6044193559513,15.740793966498432,16.344948896885526,16.496131339028064,16.77205366689277,15.618353433508467,1.0,1.0,2.0
7,1.5104570370061202e-05,1635.3863906860352,True,0,3.260781204745599,3.1452719404755705,72.47129909365559,1.9127083481508886,93.85412170910661,19.468036253776436,0.7948414741628245,67.7191770968206,45.446698316788954,43.37850668968494,31.073514602215507,34.62696014961876,25.274061286145876,30.026758739749678,24.5955977557186,25.46914113077255,20.771112070205724,26.228744065602072,19.59487843475759,21.777010502086032,21.352898863472884,23.113796576032225,18.305279815853833,22.106747230614303,17.945043878578623,20.97424830959574,19.36009207308301,18.872680189900734,17.242411163861316,21.530715005035248,17.988203136239388,18.208603078693713,18.622356495468278,19.2864336066753,16.624370594159114,20.006905481225722,16.685369011653002,20.25722917565818,17.696446554452596,17.8426125737304,17.7752841317796,19.73528988634729,16.199108042008344,17.25967486692562,17.343691555171915,18.947489569846066,16.250323694432456,18.69313767803194,16.27852107610416,17.946770248885052,18.03884333189469,17.126744353330455,16.17091066033664,19.346281110631562,16.752121996834987,17.7752841317796,16.9213062868652,17.527837721191194,16.294633865630846,18.192490289167026,17.16242267299669,18.071068910948064,16.762480218673574,16.700330887642064,16.088044885627966,18.848511005610703,15.905049633146309,16.64508703783628,17.516328585814993,18.839879154078552,16.96906919867645,17.455905625089915,16.11566681053086,17.27636311322112,16.644511581067473,17.65501366709826,16.104733131923467,18.525679758308158,16.124874118831823,16.441950798446268,17.174507265141706,17.020284851100563,16.803337649259102,17.11581067472306,15.996547259387139,17.873687239246152,17.315494173500216,16.37692418357071,15.99539634584952,17.902460077686662,16.684793554884187,16.364264134656885,16.47129909365559,17.263127607538483,16.101855848079413,17.89670550999856,16.742339231765214,16.588692274492878,16.436771687526974,16.25550280535175,16.511581067472306,18.281110631563806,16.061573874262695,16.818874982016975,16.975974679902173,17.37706804776291,15.964321680333764,1.0,1.0,2.0
8,1.8584009777570935e-05,1636.352284193039,True,0,3.181724840478975,3.020598310946863,70.3170609537737,1.9726067684640447,93.54939000166965,20.378031999723643,0.7801806168311967,67.52586519583855,45.382839442912335,43.46101365083569,31.158565021388807,35.4466891973585,25.733350989412113,30.566126812866674,25.098307895145922,25.893407181801958,21.4711351899084,26.91650018135864,20.21889699405259,22.496531156262055,21.820610401349537,23.851251374583306,18.920599462257254,22.706676876486135,18.689727040860387,21.832700977033664,20.107203104399243,19.622428593635753,18.05180523809798,22.530499916517456,18.693757232755097,19.2936800833674,19.45776646765195,20.243653887120082,17.647058823529413,20.93742263470916,17.82611449199431,21.20399104145916,18.60221430257529,18.90447869467842,18.841147107761575,20.71403485540247,17.32694643874972,18.497429313312875,18.393220065749702,20.029477975001296,17.234827766870673,19.688063147349574,17.27340246072002,18.89008515219732,18.91714501206179,18.120894242007264,17.237706475366892,20.43940606486306,17.774873480761592,18.656909764003476,17.906142588189237,18.689151299161143,17.233100541772938,19.146865950060167,18.0351087288199,19.186016385608763,17.62402915555965,17.544001059364728,16.9947434782859,19.625307302131972,17.10010420924756,17.611938579875524,18.350039438306396,20.017387399317172,17.836477842580706,18.52794362337281,17.077650282977043,18.21646736408178,17.58142426981559,18.711029483732418,17.146163545187086,19.61379246814709,17.22100996608881,17.515213974402524,18.052380979797224,17.97811030059474,17.900385171196795,18.403583416336094,17.04713597291711,18.994870141459735,18.22913368146515,17.52442584159043,17.090316600360413,19.00120330015142,17.70981466874701,17.379914675080173,17.4887298562373,18.291313784983505,17.025257788345836,18.963204348001312,17.84856841826483,17.750116587694098,17.414459177034818,17.40524730984691,17.523850099891185,19.377738371457028,17.14386057839011,17.923414839166558,18.05007801300025,18.376523556471625,17.05001468141333,1.0,1.0,2.0
9,2.2246060783391863e-05,1632.7754974365234,True,0,3.1154663366811803,2.986291171369231,69.15662371775215,2.061426950318614,93.92968103632818,21.31809003650754,0.7681951530459874,68.03246914794522,46.70708917444356,44.2898386378232,31.64237651946008,36.32471462210934,26.431228701523363,31.408635682505885,25.944654335487527,26.525535029304393,21.882539443766234,27.86028777894134,20.84285557246255,22.9980155171516,22.93784460862874,24.544523579474777,19.654480129136026,23.494425512465213,19.283040482292975,22.72666786237062,21.059817983001718,20.551836659126018,18.68595992848919,23.577739078112252,19.756886386910512,20.272389074351572,20.275281906492093,21.289508854959184,18.555203915737586,22.25340052418118,18.661660138508804,22.465734403295514,19.764986316903975,19.601830584178522,19.710601072662158,21.907417800174727,18.374112623740896,19.34899705509688,19.436939152168755,21.231652212148738,18.405355210858534,20.629364560492014,18.17450720604486,19.996991454573855,20.127168900897356,18.962514681123114,18.07904374540763,21.830468465236834,18.753073634149306,19.786971841171944,18.7652235291395,19.535874011374617,17.987051683339022,20.392152324969192,19.00359289751853,20.14452589374049,18.571982342152616,18.607274894266983,18.105079234672328,20.982290081635725,17.903738117691983,18.49445444078662,19.431153487887713,21.078910675129165,18.890193877610056,19.617451877737345,17.997465879044903,19.267419188734156,18.53900405575066,19.548023906364808,17.923987942675637,20.502079946309035,18.058793920423973,18.39841241372128,19.130877511701506,18.8699440526264,18.780266256270213,19.269733454446573,17.94770916622792,20.059476628809136,19.292297545142645,18.497347272927144,18.100450703247493,20.17981844585486,18.495033007214722,18.271127799538302,18.455111923675517,19.38139677507073,17.98126601905798,19.772507680469335,18.852587059783268,18.830022969087196,18.378162588737627,18.299477554515423,18.480568846512114,20.38173812926331,17.991101648335754,18.812665976244062,18.9868144711035,19.410903662904055,18.095822171822658,1.0,1.0,2.0
10,2.600054891759985e-05,1642.9320766925812,True,0,3.044986236057243,2.917046677663801,70.81026905287169,1.8508831093142928,94.07576796133841,22.196164945365737,0.7583507957919235,68.16812492439908,46.632375049680604,44.60828643676307,31.922884182271655,36.5764447695684,26.5971234210208,31.630272624115108,26.28780765974114,27.042376835302317,22.404944444124443,28.53999504633976,21.45914094315387,23.6324153701709,23.418140764591698,25.42667718839461,20.380855831206908,24.135269484876936,20.192501540818736,23.703840238697303,21.766152676416546,21.625030960376478,19.72420784636741,24.63812359958297,20.646395060163933,21.129088929721384,21.32320329015201,22.121548998035816,19.60497439648866,23.140505388545524,19.529517478932544,23.198106088970043,20.672315375354962,20.582458282692716,20.73106808978797,22.93141484600453,19.15626494018167,20.322679123778144,20.20632570892062,22.165325530358448,19.105576323808098,21.642887177508076,18.959270544729822,20.837053378569085,20.812861084390786,19.931570367895674,19.055463714438766,22.523601886998946,19.63377474670092,20.71205985864788,19.7432160775075,20.53061765231065,18.959270544729822,21.17401747605251,20.0415877057065,21.191297686179862,19.806576847974473,19.664303117925915,18.965030614772278,22.062796283602808,18.826788933753434,19.748976147549953,20.346871417956443,21.998859506131595,19.881457758526345,20.591098387756396,18.939110299581245,20.249526234239006,19.568685955221216,20.65733919324459,18.865381403037862,21.724680172110894,19.012839196124627,19.46673271546982,20.22072588402675,19.947698564014537,19.844593310254652,20.382583852219643,19.028391385239242,21.17747351807798,20.303670892638053,19.437932365257563,18.95293446768313,21.10316861453035,19.657391033874973,19.36420346871418,19.3976118749604,20.2863906825107,19.04048753232839,20.959742870473306,19.789296637847116,19.758768266622123,19.269162313013727,19.417196113104733,19.437356358253314,21.448772817077455,19.001895063043968,19.92005022781077,19.84862535928437,20.382007845215398,19.032999441273205,1.0,1.0,2.0
