epoch,lr,time_sec,is_best,early_stop_counter,train_loss,val_loss,val_mag_acc,val_mag_mse,val_sign_acc,val_mod_acc,val_mod_loss,mod_acc_2,mod_acc_3,mod_acc_4,mod_acc_5,mod_acc_6,mod_acc_7,mod_acc_8,mod_acc_9,mod_acc_10,mod_acc_11,mod_acc_12,mod_acc_13,mod_acc_14,mod_acc_15,mod_acc_16,mod_acc_17,mod_acc_18,mod_acc_19,mod_acc_20,mod_acc_21,mod_acc_22,mod_acc_23,mod_acc_24,mod_acc_25,mod_acc_26,mod_acc_27,mod_acc_28,mod_acc_29,mod_acc_30,mod_acc_31,mod_acc_32,mod_acc_33,mod_acc_34,mod_acc_35,mod_acc_36,mod_acc_37,mod_acc_38,mod_acc_39,mod_acc_40,mod_acc_41,mod_acc_42,mod_acc_43,mod_acc_44,mod_acc_45,mod_acc_46,mod_acc_47,mod_acc_48,mod_acc_49,mod_acc_50,mod_acc_51,mod_acc_52,mod_acc_53,mod_acc_54,mod_acc_55,mod_acc_56,mod_acc_57,mod_acc_58,mod_acc_59,mod_acc_60,mod_acc_61,mod_acc_62,mod_acc_63,mod_acc_64,mod_acc_65,mod_acc_66,mod_acc_67,mod_acc_68,mod_acc_69,mod_acc_70,mod_acc_71,mod_acc_72,mod_acc_73,mod_acc_74,mod_acc_75,mod_acc_76,mod_acc_77,mod_acc_78,mod_acc_79,mod_acc_80,mod_acc_81,mod_acc_82,mod_acc_83,mod_acc_84,mod_acc_85,mod_acc_86,mod_acc_87,mod_acc_88,mod_acc_89,mod_acc_90,mod_acc_91,mod_acc_92,mod_acc_93,mod_acc_94,mod_acc_95,mod_acc_96,mod_acc_97,mod_acc_98,mod_acc_99,mod_acc_100,mod_acc_101,w_mag,w_sign,w_mod
1,2.2954884127418003e-06,617.2276990413666,True,0,3.086935215622586,2.631887436745747,54.15204544018746,2.5198877838371203,93.12137101637386,10.542795444494857,0.9491174590185163,52.48422056179969,36.07360483347596,30.52050609066213,24.090995238888347,22.56617600606482,18.39431653064858,19.906500726514626,16.64264095245206,16.2991976751532,13.397733733825717,15.349846943756857,12.137675957247628,12.529362102929605,13.117465641314274,14.716946456159294,11.536363062043776,12.775171003738823,9.912760813007196,11.458255560852061,10.52326282599831,10.453770122732156,9.919078331485938,12.06646029439636,10.16258995284834,9.621006323261676,10.349818227763771,9.989719674475502,9.254590251494667,10.506033230147198,9.348778708814088,11.683388946639942,9.220131059792442,8.947329125483147,9.523371946772036,10.179245228837749,8.33050959401329,8.714155261631413,8.54185930312028,8.381624061704926,8.509697390864869,9.30340743973949,8.5447309024288,8.537839064088354,8.798580281301868,8.317874557055807,8.016356629661324,9.63364136021916,8.147301558129785,8.77445884711031,8.492467795013756,7.818790597235224,8.013485030352804,8.259293931162022,8.098484369884963,8.494190754598867,7.889431940224789,7.81362171847989,8.103653248640299,8.97374783912152,8.255273692130096,7.934803209299387,8.838782671621132,10.241846093763462,8.178314830661789,8.299496321481286,7.896323778565234,7.865884825894934,8.179463470385198,8.321894796087733,7.891729219671603,9.101246848419759,7.769973408990404,7.69646046669232,8.12375444379993,7.8239594759905575,7.610886807298457,7.8377431526714485,8.03416054537414,8.858883866780765,7.315112078521012,7.6120354470218645,7.7148387022668405,8.399427977417744,7.730919658394546,7.135924281669433,7.19335626783981,8.35175942889633,7.600549049787789,8.618818164588586,7.742406055628622,7.557475060160006,7.316260718244419,6.927446171870962,7.699332066000839,8.289158563970618,7.4219355727979135,7.578724895043046,7.680379510564614,7.676359271532688,7.788925964426628,1.0,1.0,2.0
2,3.1746775341284927e-06,622.8355078697205,True,0,2.471319337361902,2.271427227398847,70.20435865432731,1.3463953787672953,93.7110680371101,11.196231472268074,0.9169313235249591,53.779168416148536,36.941004595625245,30.809094621565503,24.318277244465406,22.836058690563153,19.238932250475955,19.492583155509287,17.61177032226894,17.266667050114748,13.896158425408803,14.234934804240169,13.04375334318795,13.800679853446143,14.02844801306791,13.644808208856501,13.127153300625213,12.906287206446528,9.958530090129472,12.671616981381678,10.787928287540046,11.410839693778364,10.742489690039744,12.264395120239731,10.496316022569754,10.335267828897797,11.230810820137926,10.511270497696437,10.070113481459327,11.150861895422205,10.38243194275887,9.825665330350107,10.125330005003997,9.354024191739379,8.932998199711264,10.691299371336873,9.899862533863258,9.849247387280643,9.586968900443457,9.348847642657066,9.442025526138698,9.81358671582471,9.526575827816474,8.464808093822077,9.805534306141112,9.28097733246674,9.759520536520554,9.199878063510505,7.851099441507871,9.749167438355927,9.027326427433408,9.948752164085102,9.52542548357596,8.340570915846566,8.884683741609676,8.284204048061381,9.025025738952381,9.451228280062809,9.494366189082083,8.701203835247698,9.802083273419571,8.958880945122829,8.673020401355105,8.858225824077854,8.30548541651089,9.268323545821087,8.984763690534392,9.141210507244294,9.392560723796596,8.258321302649819,9.201603579871275,9.425920706771501,8.580992862113987,8.616078361449663,10.035603154243908,8.918043724584582,8.648863172304312,7.24026664979495,9.50069308240491,9.079667090376796,8.619529394171206,7.679122977551033,9.293055946992137,8.73686450670363,8.292831629865237,8.639085246259944,8.339995743726309,8.73916519518466,8.781727932083676,8.269824745054958,8.597097681481184,8.021350389103938,9.018698845629554,7.87238080995738,7.819464974893737,8.380257792144299,9.32123938088473,7.611827839480964,8.163417902807415,7.421445867675902,8.935298888192293,1.0,1.0,2.0
3,4.6159181809952e-06,621.5075631141663,True,0,2.27956680647148,2.1912748524973362,76.18056639439502,1.1782648153595972,93.77301446912809,13.236015006734533,0.899342011031505,54.869962830006536,38.92444028233009,33.111353901115095,26.45023672025389,24.73625490638133,21.505413639017508,21.90717328847499,19.164224314840826,18.605807305666836,16.690078559908432,17.673956147500707,15.402713467330292,15.54780939828544,15.573822612998514,16.566371272161813,13.960425229349843,15.083618033516583,13.45287850672586,14.29397244911526,13.51473215059917,13.276566718115024,12.43373856141142,13.975455086739618,12.807172710403552,12.51293434842678,12.978859927509841,12.85226228257288,11.856245194781172,12.796189353080253,11.764331836128308,13.294486932695143,12.062038626733491,11.755082693119217,12.054523698038604,12.567851135043268,11.31054575724468,11.510558474816317,11.81867055130673,12.194995057489205,11.138280468700321,11.993248125603362,10.82323153495309,11.745833550110122,11.871853123609014,11.170074397794078,10.697790032892266,12.199041557555683,11.184526183745787,11.43367497355323,11.128453254253161,11.178167397927036,10.62090653162918,11.40650561596402,11.277595685274786,11.578192833070311,10.959078322899144,10.784500748602513,10.678713675436011,11.466625045523125,10.567145887888826,10.654434675037141,11.298984328483314,12.08342726994202,11.26314389932308,10.908208036349132,10.32146552670979,10.829012249333772,10.553850244813253,11.118626039806,10.27348559735012,11.662591263028284,10.02953945048529,10.423206099809814,11.074114539074738,10.585066102468943,10.803577106058766,10.611079317182018,10.318575169519448,11.446392545190735,10.990294180554832,9.997745521391534,10.189087167392147,11.12209446843441,10.619172317314973,10.122608952014291,9.924908520194926,10.682760175502489,10.068848308273937,10.976420466041194,10.544601101804162,10.168276595621686,10.152668666793842,9.746284445831815,10.291983883368307,11.271236899456035,10.141107238032475,10.346900669984798,10.64807588921839,10.542288816051888,10.034164021989838,1.0,1.0,2.0
4,6.583721194081791e-06,623.8049097061157,True,0,2.1653329043382814,2.0962068172772357,78.57122369017365,0.9613883676213094,93.76538146021329,13.800558752158425,0.8874708072686778,55.4122661587797,39.32376073475335,33.58651192941595,27.44195918929307,26.022705760195507,22.17397041022964,22.722396553405577,19.98370784260858,19.270639122977105,17.36950498230236,18.792774083996395,15.925583850112151,16.436721604892238,16.41549590688229,17.325332583741115,14.467894697591168,15.729389560398586,13.847760115192436,15.219399140646065,14.255064049977914,13.779493681052335,13.119776040202618,15.275044889482952,13.3676004061566,13.162227436222516,13.60567242437628,13.66418651078208,12.234607066436434,13.89250618126746,12.093484858045974,14.243590699702265,12.604048945312277,12.267306114722029,12.74574482121652,13.524785304932967,11.590952115972625,11.812961443806397,12.1869926627925,13.119776040202618,11.396478828800403,12.763528514143774,11.214626226931395,12.208218360802446,12.43768536631539,11.275434983392325,11.123986759753782,13.025694567942312,11.563989742824853,11.983914362913541,11.485970960950452,11.530717027025476,11.012695262080003,12.121020898707528,11.639713854644125,12.130199578928044,11.437782889792734,11.117102749588394,10.840021340431512,12.39867597537819,10.880178066396278,10.989174894014926,11.904748246011575,12.966033146508945,11.486544628464234,11.491707636088275,10.580723624201886,11.196842534004142,10.888783079103014,11.636845517075214,10.56236626376085,12.299431495493842,10.773475908832758,10.759707888501982,11.399920833883098,11.1526701354429,11.24961994527212,11.326491392118955,10.52851988044769,12.020055416281831,11.441798562389211,10.656447736021157,10.468284791500542,11.748710682262773,11.07981436119254,10.619733015139085,10.576707951605409,11.181353511132018,10.343225273495987,11.646024197295732,10.983438218877103,10.730450845299082,10.519914867740955,10.525651542878778,10.758560553474418,11.890406558167017,10.42353872542552,10.780933586511928,11.051130985503423,11.352880097752944,10.461974448848936,1.0,1.0,2.0
5,9.029631324311132e-06,628.0426044464111,True,0,2.0808815124011275,2.0299853401494943,80.13129604678497,0.9209457762166249,93.84685950176303,14.482997448613936,0.8701846585007291,55.78877963477912,39.575724564974344,33.9242611013961,27.521715448785944,26.160020640426566,22.215979130235358,23.40509703867213,20.387007998165295,19.604965169280163,17.743886706991944,19.268984892354442,16.25777599403721,16.799587191468625,16.75314623168879,18.02023908494109,14.721784250207836,16.395378837829316,14.47008571510478,15.85414098558037,15.018203709543332,14.401857638391194,13.564773671989222,15.971103402803658,13.969555370810996,13.565920362354156,14.167932803944616,14.276868388613364,12.697302410916492,14.665023077143594,12.718516182667775,15.195940716108133,13.247140440902443,12.664621735515869,13.538973138778202,14.178253017229023,12.195625376257777,12.588366826247743,13.025255855287677,13.745950749648825,11.953100364074192,13.596881002207379,11.90780609465929,12.844652122810537,13.089470515723992,12.071209471662414,11.904366023564487,13.913940888111686,12.27417366625577,12.934667316457874,12.137144167646131,12.346988504429092,11.607946564228994,12.897399879597513,12.33953501705702,12.894533153685176,12.128543989909126,11.730069088094487,11.581572685835507,13.267207522288793,11.569532437003698,11.766189834589914,12.794197746753433,13.800991887165667,12.176704985236361,12.318894590488204,11.39064874007396,12.019035060057908,11.586732792477711,12.517272023621823,11.330447495914916,13.235100192070636,11.491557492188171,11.498437634377776,12.209959005819455,11.882005561448269,12.00068801421896,12.015021643780639,11.431929593211592,12.845798813175472,12.251813204139554,11.46403692342975,11.225525327523435,12.512111916979618,11.892325774732678,11.403262334088238,11.443396496860935,11.94507353151965,11.184817819568272,12.50752515551988,11.861938480061921,11.517358025399192,11.322994008542842,11.299486856061693,11.641200584812086,12.977668205142907,11.226098672705904,11.793137058165868,11.851618266777514,12.130837370638993,11.279419774675343,1.0,1.0,2.0
6,1.1893420396509023e-05,622.0606377124786,True,0,2.0329175685371292,2.0005542749020773,81.46437691228232,0.8375371320858273,93.43555177252755,15.102176263544136,0.8600476010853253,55.56948630058203,39.69553014792151,34.438335365432835,27.67316938507902,26.71444017575744,22.3883687225379,24.193103130966893,20.84301456210173,19.993558627987763,18.003634774206905,19.990683015482297,16.561802663967427,17.315788262899996,17.343394142952448,18.612114380363018,15.072235386137248,16.871793692056407,14.55520025765488,16.477259656306796,15.632404702201569,14.847362488209988,13.933492833973638,16.560652418965237,14.615012997768526,14.14686328187904,14.91695231084221,14.862315673238399,13.222641422623019,15.225793093929008,13.191009685062918,15.791138512503164,13.85182543881847,13.369297660401665,14.238307759552784,15.084888081161289,12.711932641652671,13.192159930065102,13.504451448158457,14.490786537532493,12.589431548919919,14.156640364397616,12.523867583795347,13.468218730589616,13.876555706365457,12.786123444293635,12.426671881110677,14.656421817847201,12.94485725459523,13.42048356299892,12.866065471945523,13.02077342473947,12.211000943200903,13.552761738250247,13.231843382640502,13.678713565989556,12.74356437921277,12.417469921093192,12.207550208194345,14.016885596632084,12.190296533161565,12.361107915986105,13.342266902850309,14.51264119257402,13.007545607214336,12.98741631967609,12.097126687984542,12.6227886539833,12.41056845108008,13.356644965377626,12.022360762842485,14.033564149163771,12.020635395339207,12.27598978582438,13.055855897306126,12.475557293703558,12.707906784145024,12.748740481722606,11.998205617796591,13.565414433274286,13.085187144861857,12.24435804826428,11.907911385125033,13.410706480480341,12.546872483839058,11.882605995076952,12.28864248084842,12.706756539142837,11.993604637787849,13.21286434010444,12.796475649313305,12.307046400883388,12.097701810485633,11.990729025282384,12.26506245830362,13.671812095976444,11.822793254963306,12.382387448526536,12.664772596563068,12.879868411971751,11.76873173986059,1.0,1.0,2.0
7,1.5104570370061202e-05,623.436331987381,True,0,2.0006789329722654,1.9674082143759144,82.24317771118787,0.9412025614768852,93.85650890957751,16.370427979962027,0.8482361526789016,55.82210581695908,39.82146533385182,34.98982089347393,28.29276940320699,27.409817691058397,23.11858087242949,24.845597822357433,21.74268591165908,21.125649061006015,19.05437244092687,20.773955211931288,17.68934281858316,18.479081364229017,18.468787885719514,19.690852528764555,16.42210124207974,18.00329391312304,15.94345449138779,17.635016126449663,16.813253425440905,16.08527575085207,15.290962325868653,17.689914678500354,15.901708717432578,15.587757622892696,16.16076125992177,16.01665256078871,14.393142255873,16.55763204245488,14.625889242171239,17.151794496420155,15.328705080403504,14.893519683418349,15.513987693574583,16.450694237939476,14.208431502619117,14.489214721961707,14.887229224329207,15.7810462749045,14.121508795205525,15.475673079122537,14.06203536381728,14.91810965985772,15.221767275888098,14.14152389230734,13.841297435780131,15.920580094700002,14.322803486058056,14.680215934304734,14.314797447217328,14.575565569458105,13.70061989615024,15.020472585035568,14.524670036827777,15.065077658576756,13.993412173753917,13.775533545302743,13.633712285838461,15.337282979161424,13.514765423061966,13.739506370519477,14.704805910744104,15.908571036438914,14.209003362536313,14.391426676121416,13.503328224718073,13.926504563442139,13.901914587002768,14.554978612439095,13.459866871011277,15.419058947320263,13.382665782189996,13.551936317679623,14.273051673262119,13.72006313333486,14.022005169613653,14.111215316696022,13.488459866871011,14.887801084246401,14.572134409954938,13.567948395361073,13.303749113617128,14.73225518676945,13.917926664684218,13.423267836310817,13.521055882151108,14.199281743944002,13.27687169750898,14.556694192190681,14.036301667543519,13.645721344099549,13.575954434201797,13.415261797470091,13.646293204016743,14.888944804080792,13.271724958254227,13.769243086213601,13.881899489900954,14.1781229270078,13.188233410343802,1.0,1.0,2.0
8,1.8584009777570935e-05,620.1288311481476,False,0,1.9709955125300775,1.9717853610535023,80.45874771171316,0.8418376161252893,94.21142335745479,16.742420677505066,0.8434663618957067,56.542922235548644,40.52692287827749,35.59168354786321,29.058803950486922,28.17849498155024,24.14135443626368,25.409022306134045,22.580441531760563,22.032974285107628,20.073799043940845,21.849911337851562,18.745875345036353,19.43393952610225,19.620445663588836,20.664880033513718,17.50288367181806,18.99722823186443,17.08224059865601,18.668977429888038,17.796702571489238,17.112655445692283,16.248414697831365,18.468124666440946,16.7591545820254,16.370074085976462,16.947956179665667,16.902046976592043,15.475992356117688,17.231445508645276,15.285469163362162,17.660696557383634,15.913277515393931,15.462793460234023,16.114704143879443,16.704637403375475,14.636427804908841,15.076008424338763,15.213736033559627,16.329329668248622,14.432705716269648,15.940249172199684,14.30530767774035,15.147741554141298,15.651021192835868,14.435001176423329,14.119949270330604,16.330477398325463,14.446478477191734,15.157497259794441,14.566416270221568,14.774155414129705,13.998863747223927,15.1930768921765,14.673155167367739,15.179304131254412,14.26628485512777,13.997142152108665,13.789403008200532,15.487469656886093,13.693567546784347,13.89155098503934,14.826377132625948,15.910408190201828,14.48377970468905,14.470006943766963,13.715948283282737,14.143477736905835,13.89499417526986,14.647905105677248,13.575925213908194,15.336543151781564,13.520834170219848,13.537476256334035,14.324245224008218,13.865727058310426,14.035591109682825,14.26513712505093,13.392862266652127,14.84703627400908,14.455086452768038,13.333180302656423,13.461152206224138,14.688075658366664,13.952380679111887,13.254560792392844,13.52599895556563,14.207750621208904,13.208651589319222,14.595109522142582,13.913357856499308,13.573629753754513,13.483532942722531,13.259151712700207,13.5902718398687,14.82465553751069,13.340640548155886,13.647084478672305,13.858266812810962,14.165858473404224,13.22012889008763,1.0,1.0,2.0
9,2.2246060783391863e-05,622.4852709770203,True,1,1.946435831300589,1.923606254030301,84.36774858498443,0.729145722073669,94.3433924674532,16.54282473383888,0.8391647067558502,56.53095184628584,40.575679581742705,36.01711261969333,29.212370374209,28.744249250027348,24.251322888416738,25.858941804425555,22.919509653198826,21.984418994316908,20.13266310825517,22.20034202207597,19.03347094827636,19.297184939512764,19.602356152078908,20.659515295987283,17.46270289567175,19.114658006713768,16.81147904395041,18.432917033735812,17.583043996476135,16.80111473861798,16.037035117721235,18.28090722219343,16.5293396210119,16.12167694460279,16.653711285001123,16.56158412649059,14.988512894923216,16.984217466157663,14.944752494630714,17.404547626861977,15.557973893466457,15.292532518007981,15.723802778785418,16.60361714256102,14.355714474903985,14.823835599085639,14.970663257961803,16.043368859868835,14.204856252842987,15.567762404058202,14.053998030781987,14.978148589590784,15.382932292296442,14.226736452989238,13.89162391390717,16.08194710749512,14.269345263800359,14.73631479850063,14.144397805070449,14.429416201712414,13.62272777000455,15.029394321512267,14.346501759052932,14.913083783892716,13.977993125010796,13.667639759778435,13.426381763428974,15.252802680900313,13.41025951068963,13.7200370811813,14.415021333195144,15.671405457382553,14.16685379995739,14.230191221433383,13.374560236766797,13.927323187830002,13.492598158608418,14.43402255963794,13.287615230922482,14.987937100182528,13.262856057072774,13.41025951068963,13.987205840861849,13.68606519148054,13.873774276945754,13.952082361679707,13.019870676501242,14.634974924139044,14.246889268913417,13.078025945311014,13.018719087019859,14.345925964312242,13.51390256401398,13.115452603455921,13.245006420111357,13.880108019093354,13.095299787531742,14.343622785349478,13.736159333920645,13.274371951886591,13.256522314925176,12.991080939466698,13.432715505576573,14.619428466140391,12.958260639247321,13.385500336839923,13.704490623182647,13.804103113322164,12.98417140257841,1.0,1.0,2.0
10,2.600054891759985e-05,619.7412042617798,False,0,1.9267206268214736,1.943445768706041,83.20559049295169,0.853112966628787,94.31377157631034,16.623163398093315,0.8387597216438498,56.64902917352198,40.51100957927986,36.0412522429044,29.356967191969684,28.69197828467258,24.48133731562323,25.880107086144726,23.013202322875046,22.5064349142107,20.367005084872076,22.268529399962166,19.120724149989396,19.562139200522818,19.63437075424647,20.659370897563043,17.546534891853312,19.050212395163925,16.771478855072548,18.426498661423192,17.59698232619999,16.940592413393794,15.898394281095396,18.339362183915295,16.447583395914904,16.14203245833787,16.606378160847058,16.627015747625247,14.957091017490354,16.903903370232573,15.048813625393404,17.449652887255716,15.470164355448034,15.21792718371465,15.692018413313535,16.49803083026158,14.382678185497511,14.755301280103646,14.952504887095202,15.911006139682065,14.177448850314436,15.55844736555472,14.069674786028354,14.931867300317018,15.31824878610861,14.225603219463537,13.82030394579194,15.93279025905904,14.327071354456287,14.831545697923056,14.218724023870807,14.589627319578764,13.628833001794325,14.978301870567934,14.400449440778726,15.062572016578862,14.093751970602906,13.67182797424888,13.545709388382186,15.227099444504955,13.47462436725732,13.82030394579194,14.736956758523037,15.878329960616606,14.243374474744751,14.278343719007792,13.389207688647609,13.965340319538635,13.71424968040404,14.516249233256326,13.381755226755484,15.214487585918288,13.38404829195306,13.50959361152036,14.249680404038086,13.808265353504664,14.01406795498713,14.07884704681866,13.232705988913029,14.672177666691507,14.343696077138713,13.248757445296064,13.175379358973624,14.547778879722998,13.77386937554102,13.283153423259709,13.369143368168816,13.991710569310762,13.197163478350598,14.531727423339962,13.971072982532576,13.541123257987033,13.44596105228762,13.143276446207558,13.535963861292485,14.812054643743657,13.073911223980875,13.565773708860975,13.869031581240435,14.101777698794422,13.245891113799093,1.0,1.0,2.0
