epoch,lr,time_sec,is_best,early_stop_counter,train_loss,val_loss,val_mag_acc,val_mag_mse,val_sign_acc,val_mod_acc,val_mod_loss,mod_acc_2,mod_acc_3,mod_acc_4,mod_acc_5,mod_acc_6,mod_acc_7,mod_acc_8,mod_acc_9,mod_acc_10,mod_acc_11,mod_acc_12,mod_acc_13,mod_acc_14,mod_acc_15,mod_acc_16,mod_acc_17,mod_acc_18,mod_acc_19,mod_acc_20,mod_acc_21,mod_acc_22,mod_acc_23,mod_acc_24,mod_acc_25,mod_acc_26,mod_acc_27,mod_acc_28,mod_acc_29,mod_acc_30,mod_acc_31,mod_acc_32,mod_acc_33,mod_acc_34,mod_acc_35,mod_acc_36,mod_acc_37,mod_acc_38,mod_acc_39,mod_acc_40,mod_acc_41,mod_acc_42,mod_acc_43,mod_acc_44,mod_acc_45,mod_acc_46,mod_acc_47,mod_acc_48,mod_acc_49,mod_acc_50,mod_acc_51,mod_acc_52,mod_acc_53,mod_acc_54,mod_acc_55,mod_acc_56,mod_acc_57,mod_acc_58,mod_acc_59,mod_acc_60,mod_acc_61,mod_acc_62,mod_acc_63,mod_acc_64,mod_acc_65,mod_acc_66,mod_acc_67,mod_acc_68,mod_acc_69,mod_acc_70,mod_acc_71,mod_acc_72,mod_acc_73,mod_acc_74,mod_acc_75,mod_acc_76,mod_acc_77,mod_acc_78,mod_acc_79,mod_acc_80,mod_acc_81,mod_acc_82,mod_acc_83,mod_acc_84,mod_acc_85,mod_acc_86,mod_acc_87,mod_acc_88,mod_acc_89,mod_acc_90,mod_acc_91,mod_acc_92,mod_acc_93,mod_acc_94,mod_acc_95,mod_acc_96,mod_acc_97,mod_acc_98,mod_acc_99,mod_acc_100,mod_acc_101,w_mag,w_sign,w_mod
1,2.2954884127418003e-06,634.6268119812012,True,0,2.767396547486078,2.2068197606467534,76.40229113989369,1.232343688239922,94.07434164129556,12.221729134056911,0.9288109864289325,58.071451915303506,38.47578421085826,33.71002975729741,26.34638870254743,25.516739196495635,21.345557332966383,22.299625597009364,18.710975798544816,18.193806583300365,15.988670439364489,17.798762692720068,13.960128661609646,15.22037027481065,14.391867485422363,16.082127847440816,13.751426228850244,13.38333017986251,10.337077363239704,14.43486936030411,12.792771098153214,12.171824024860816,11.490674326733979,14.016317778121792,12.255534341297281,10.874314120095637,12.195331716462837,12.082953483438546,10.133535155466111,12.112194758358132,10.480416946178854,13.52322961281112,9.435184707386576,11.451112601842773,10.042371180716811,12.362178991004008,8.881893917241458,10.352558038197133,10.832458961877405,10.74416177878689,10.560687112624777,11.478060443435334,10.879474345081446,10.923622936626703,11.178767394258388,8.505197493277374,9.647327290136516,11.248143752400939,10.276301380073505,10.226992563542439,9.774612839786482,8.805063900786074,10.35771826318294,9.595151681946666,8.202464294109891,10.369185429818073,8.091232777749111,10.358864979846455,10.685679228947716,10.636370412416648,8.543612501505066,10.433974921306568,10.56871412926937,10.61744958746868,9.040140816806279,10.029183939086412,10.345104379884296,10.690839453933524,8.126780994318018,9.749385073189192,8.165196002545711,8.665737826169222,9.61292579023112,10.015423339124252,10.216098755239061,10.358864979846455,9.232789216276496,9.982168555882371,8.584894301391541,10.310129521647143,9.351474390950113,9.780919781435804,9.927699514365493,9.21214831633326,9.788946798080396,10.065878872318832,9.934579814346572,9.634140048506115,9.508001215519664,8.277000877238248,9.383009099196725,9.714983573283794,7.860169370051201,9.258590341205544,8.328603127096342,7.72026993710259,9.367528424239296,6.833284597875135,8.883040633904972,9.750531789852705,8.251773110640958,1.0,1.0,2.0
2,3.1746775341284927e-06,635.1467316150665,True,0,2.2276196783895608,2.049501245180026,83.15116875334897,0.9203965600898866,94.16458766658408,14.930479773681874,0.8819608849335605,66.73158140365635,42.196691653078744,39.96347105628569,28.625094347232384,30.83872528966761,22.372537609255534,26.049630965481878,21.358484913085313,21.576275776240053,17.877864266741952,21.495036327285508,16.338347900738068,17.5724961252816,17.059131947845426,19.00138856079419,15.158935475135543,17.130000403316416,14.420866438888922,16.860354572743876,15.45796578724483,14.960734266338635,13.394714250321213,16.856897574916026,14.013516861506906,14.056729334355067,14.325222832318321,14.620796146599755,12.766116811956604,15.224042267560108,12.876164576143259,16.271512609399576,13.357839606824115,13.146386573020436,13.225897523061056,14.66458478575256,12.18476501057265,12.929171876170336,13.099717102344421,14.331560661669386,12.158837526863755,13.774407845080406,12.149042699684836,13.216678862186782,13.509947511249647,12.484371488986582,11.926066339788315,14.307937843179056,12.174394017089092,12.950490029442099,12.246990971474006,12.522974631397608,11.665063003785413,12.951642362051382,12.370290560667431,13.251248840465312,11.841369893005917,11.587856718963362,11.74918328426317,13.687982899384076,11.306687562297983,11.840793726701275,12.785130300009795,13.87177995056493,12.27176612257362,12.287898779103601,11.607446373321196,12.241805474732228,11.546372745029124,12.641088723849252,11.337224376444016,13.154452901285426,11.403483501477867,11.611479537453691,12.142128704029131,11.844250724529127,11.53484941893628,12.142704870333773,11.33780054274866,12.910734554421788,11.888039363681933,11.427106319968196,11.308416061211908,12.5051134759537,11.757825778832801,11.433444149319259,11.387350844947886,11.928371005006886,11.151122660044594,12.637055559716757,11.410973663438215,11.265203588363745,11.29804506772835,11.207586957899528,11.285945575330864,13.021934651217729,10.93736496102235,11.43632498084247,11.546372745029124,12.25044796930186,11.226024279648078,1.0,1.0,2.0
3,4.6159181809952e-06,639.2771992683411,True,0,2.0967670696623184,1.9469004059004422,84.56138135311069,0.7995043812847211,94.19997015028186,16.629122992319438,0.8456653357939892,68.66124014098251,43.417563114932896,42.731593630529375,29.692433096449033,33.51721525090984,23.711582838708196,28.98178019126781,22.668564802590037,24.403866686566477,19.0148444944491,24.26265455839638,17.550486205986015,20.239831004672627,19.316211841153578,21.643915823794817,16.195194195377884,19.876468089503234,15.707840143278649,19.10324558281575,16.694602941345305,16.938566983915596,14.778480649346177,19.223218488456194,15.412787160028932,16.086701950564276,15.71243240760938,16.880015613698724,14.021331067816265,17.596982882334707,13.946132739400479,17.99536181302596,14.777906616304834,15.107401582035063,14.830717656108286,16.900680803187033,13.570715130362904,14.83186572219097,14.358288463083934,16.4517869648577,13.48059194287223,15.918510269451108,13.286568774898683,15.100513185538961,14.927155207053719,14.314087918900611,13.13157985373638,16.433417907534757,13.570141097321562,14.759537558981894,13.655672020481498,14.450133749698631,12.79462245846871,14.952986693914102,13.911690756919967,14.907064050606753,13.54201347829581,13.393912953629611,12.84398930002411,15.628049550532127,12.69646280839925,13.437539464771591,14.20616970712834,15.704395945030598,13.453038356887822,14.273905606006682,12.784289863724558,13.949002904607188,13.179798629209097,14.528776276362468,12.553528581105128,15.235410950254296,12.511050136045831,13.10976659816539,13.698724498582138,13.44270576214367,13.29804943572552,13.885859270059584,12.469145724027875,14.762981757229946,13.419744440489994,13.162577637968841,12.498995442177652,14.469076840062915,13.252700825459513,12.997256122062387,12.81299151579165,13.731444381938623,12.632171107768963,14.400766908143234,12.783141797641873,13.077620747850247,12.775679368104429,12.780271632435165,12.861210291264365,14.834161854356337,12.497273343053626,13.199889785656064,13.195297521325328,13.949002904607188,12.585674431420271,1.0,1.0,2.0
4,6.583721194081791e-06,634.2554368972778,True,0,2.0087694282544235,1.9092690392339882,84.73882909140981,0.7744385499178117,94.09898331535584,17.28588231244119,0.8328660317849502,68.95210336676382,44.2441420145503,43.34909232781769,30.071374475018935,34.22417552153857,24.368301471094487,29.52459091639318,23.194983131755905,24.734927592775342,19.42028320290088,25.008606246987814,18.210244876414293,21.004980148256948,19.80985931654924,22.29878594542492,16.618662933467974,20.45934408922957,16.374245519014067,19.769696830606108,17.494205127028206,17.528056365180273,15.316250889312188,19.754779335827234,16.1326968535561,16.680054161981044,16.324329286484748,17.336423932251623,14.582424896151286,18.158033644688224,14.595047391733413,18.41163105592913,15.36272462304638,15.575585798544969,15.545750808987217,17.652560071603975,14.101622564432104,15.281825901360936,14.854956050765383,16.997911550730958,13.973676359213275,16.485552980056458,13.864663897367635,15.667385766414982,15.415509604571639,14.790122323457187,13.716062699378057,17.09946526518716,14.185963784912675,15.49067082826521,14.36439997246001,15.097078466022538,13.584100245564915,15.647304523443417,14.655291120648108,15.610584536295413,14.148670047965483,14.063755077685721,13.446400293759897,16.300231794918872,13.421155302595643,14.141785050375233,14.966837261606958,16.362770523030317,14.278337502581875,14.91692102907764,13.294930346774377,14.473412434305649,13.600165239942166,15.281252151561747,13.42689280058752,15.985243155164897,13.312142840750004,13.858352649576572,14.558901154384596,14.200307529892363,14.154407545957358,14.797007321047436,13.344272829504511,15.467720836297708,14.47800243269915,13.770568930300875,13.319027838340256,15.208385927064928,13.95818511463521,13.5525440066096,13.389599063640329,14.521607417437405,13.292635347577628,14.943887269639456,13.979987607004338,13.78835517407569,13.66499896725036,13.706308952791865,13.637458976889357,15.53542331260184,13.193950382117366,14.03851008652147,13.942693870057147,14.53881991141303,13.352305326693138,1.0,1.0,2.0
5,9.029631324311132e-06,634.4839701652527,True,0,1.957536011396207,1.8691519028371648,85.80259038023824,0.6308836465022329,94.07863571766934,17.875634019248768,0.8189283706534034,68.57459763607584,45.046850989589956,43.613591986227775,30.629917620824713,34.67493154325196,24.818315212995806,29.990987972409332,23.6692816951855,25.007798870030385,20.13552703030583,25.562385183302332,18.67049485274578,21.364282330648983,20.47463345310857,22.810828297766637,17.05641760349389,20.987048098808796,16.87502166352786,20.162678651893103,18.08124689489434,17.961664221095077,15.865790112188188,20.494852745779944,16.58386384906009,17.075481508012615,17.143071714942636,17.922958717981306,15.127497082644915,18.763503599034095,15.000404385853427,18.993425841411423,16.043142193619946,16.122863976152786,16.054118381070122,18.214694226525403,14.7658605908655,15.875610911485714,15.506464396714076,17.608693140460538,14.483368187542606,17.14942634978221,14.555002253006899,16.22338274543333,16.15348176219801,15.200864230338182,14.277709096370925,17.714988850504326,14.82189691626902,16.020612124643275,15.064528428325497,15.401324074822936,14.159281810724314,16.408244849857308,15.248235144596828,16.311769939111045,14.693648831324884,14.718489676606856,14.18007879747201,16.957054222366004,14.072627699275571,14.795322988758072,15.522639830851173,16.932213377084032,14.779147554620975,15.628357846818638,13.939758061720836,15.18295571397211,14.433108802902336,15.849036983974765,14.057607653291123,16.643944032997883,13.993483610819055,14.546336841862024,15.083014638767894,14.79474529468175,14.853670090466892,15.368395512472416,14.02121292648265,16.24706820256265,15.121720141881664,14.389781747177965,14.079560028191471,15.907384085683585,14.589663897586394,14.226872017654332,14.241314369562454,15.206641171101431,13.927048792041685,15.690748807061732,14.655521022287438,14.42213261545216,14.242469757715103,14.266732908920751,14.34010005661402,16.304837610195143,13.819019999768923,14.500699009832353,14.687871890561635,15.195664983651259,13.928781874270662,1.0,1.0,2.0
6,1.1893420396509023e-05,634.7943866252899,True,0,1.915222471823995,1.8396952908585873,85.63332340064639,0.6960377991179,94.12806289682995,18.925166754532743,0.8041776372195678,68.77105920645472,46.090150594815135,44.23808650606276,31.445549774222386,35.996057487335825,25.769592224998284,30.644440369495957,24.735255690283537,25.709996103330507,20.912508309074656,26.49391431911431,19.485639626836594,22.020193916611273,21.518784239117977,23.63330047906113,17.994590505879387,22.127925367318404,17.66280055928668,20.974396589268114,19.06216333921654,18.94182501661815,16.892062255025557,21.523941595800768,17.638159855135584,17.910353680060513,18.13441217594609,18.885667132738902,15.994109152588992,19.87587961583423,16.139088179338483,19.74866481765879,17.11440163201687,17.120132028331078,17.210672290095584,19.223187475645815,15.726499644715428,16.772870011690006,16.797510715841106,18.733811630412358,15.561464230866207,18.183693584248285,15.45029454237055,17.153941366584913,17.35450523758223,16.272606413459556,15.410181768171086,18.751575858986406,15.979783161803471,17.15737960437344,16.298393196873494,16.73676851491049,15.281247851101382,17.59403580351617,16.30756183097623,17.425562151878424,15.850849244733766,15.8462649276824,15.263483622527335,18.020950328924748,15.229101244642079,15.791826162697411,16.74994842643317,18.188277901299653,16.057716551676716,16.740779792330436,15.129392348774843,16.29438191945355,15.57005982533752,16.95566965411328,15.139134022508996,17.85706099433837,15.219359570907923,15.50072202993559,16.309853989501914,16.051413115731084,15.953423338758107,16.52646297017902,15.029683452907602,17.323561097485502,16.304123593187704,15.524216654823848,15.038279047378916,17.01240057762395,15.700139821670067,15.296719921149746,15.434249432690764,16.266302977513924,14.981548123868246,16.973433882687328,15.80385999495725,15.578655419808834,15.300731198569691,15.308753753409585,15.513901941458272,17.288032640337406,15.003323629862242,15.75228642812937,15.887523781144704,16.271460334196714,15.088706534943958,1.0,1.0,2.0
7,1.5104570370061202e-05,632.7798550128937,True,0,1.8776051038805661,1.815048304508951,85.11612352683412,0.7122501339781875,94.13847182822482,19.387826056874005,0.7922465671482686,68.8305772734611,46.78325145875136,44.85804561913328,31.65029175027099,36.83260684056366,26.09089231762725,31.162503747780164,25.666528287091495,26.30365091445836,21.189372448626585,27.391660324269473,19.877072810719802,22.639475080144837,22.244516709333702,23.941396249913513,18.205562858922022,22.908738670172283,17.872875296939505,21.60220484789778,19.814802001891188,19.156922438248113,17.091607278765654,22.221453446804585,17.892479070089255,18.19287806453101,18.814432989690722,19.307986807813833,16.594593971263176,20.59088078599599,16.53578265181393,20.02410110934293,17.652621139786433,17.441592287645012,17.77427984962753,19.935307548605827,16.103346479392975,17.115823704421228,17.2680412371134,19.061209898752278,15.800064577135082,18.93147904702599,15.868101201595977,17.515394727738187,17.98300237551604,16.531746580871328,15.806406974330589,19.495952397426137,16.356465785650038,17.469268202679952,16.734703291127563,17.065661108420397,15.586729398740745,18.18768883046196,16.737009617380476,17.84058672939874,16.36684425378814,16.201365345141724,15.677252704167532,18.685278719527666,15.663991328213289,16.240572891441225,17.307248783412902,18.680666067021843,16.474088424548537,17.303789294033535,15.586729398740745,16.74104568832307,16.120643926289812,17.34472658502272,15.556747157452893,18.45176318642035,15.6022971009479,15.910191655711618,16.850019603773152,16.45333148827233,16.316105076224083,16.965912497981964,15.38492585161097,17.76793745243202,16.830415830623398,15.75336147051362,15.290943056804815,17.54998962153186,16.10853571346203,15.720496321409627,16.003597868954543,16.720288752046862,15.476025738600981,17.667035678867133,16.257870338338062,16.009363684586823,15.876749925044397,15.61094582439632,15.894047371941236,17.97204732581471,15.495052930187505,16.156968564773173,16.28900574275237,16.692036255448695,15.20272607763094,1.0,1.0,2.0
8,1.8584009777570935e-05,633.3499970436096,True,0,1.8438149070107943,1.773642161811189,86.08423367159574,0.6203901603173024,94.41723123679712,20.509068617575448,0.7768790950875066,68.84090922172784,47.93387478342955,45.82774519228002,32.18481445453028,37.99321940240947,26.676298415366283,32.28496929160599,26.513402904490274,26.877183692029632,22.039820181775273,29.32522117526521,20.980135957313315,23.471919231455526,23.357949934093515,25.22635568781622,19.413921522353522,23.95484973896426,18.91142052943919,22.83990767335709,20.982438367361038,20.13112225221751,18.102699000178436,23.947366906309178,19.052443144861883,19.407589894722303,20.052840310595116,20.60829673460695,17.712440497090327,21.80842797197967,17.60480282735954,21.38248211315194,18.937322642476012,18.55109335697141,18.90048408171253,21.159148338523348,17.25080728252298,18.002544163102726,18.443455687240622,20.395323805193087,16.986605729547406,20.1662340054452,17.022868687798955,18.834865395352583,19.23087992355999,17.64739741324231,16.869758419625743,20.928907333751603,17.26749975536893,18.539005704220894,17.806839309046747,18.195371004599064,16.75636472477566,19.274625714466616,17.820078166821123,19.119213036245693,17.694596819220518,17.33254283921695,16.759818339847236,20.117883394443133,16.76269635240688,17.344630491967468,18.36977856571366,19.738561339081684,17.753883877949246,18.545337331852117,16.598649636507012,17.860945945168105,17.34232808191975,18.618438850867143,16.58598638124457,19.60789956887372,16.596347226459297,17.04416598074034,17.940379091814357,17.500618772700324,17.480472684782796,18.149322803644715,16.543967397873725,18.933869027404434,17.953042347076803,16.98315211447583,16.444963765821875,18.893001249057452,17.201305466497054,16.89911414773414,17.01020543253651,17.94555951442172,16.454749008524676,18.666213859357285,17.341176876895894,17.18749100621075,17.04359037822841,16.695926461023074,16.994088562202485,19.252752819013303,16.367257426711408,17.185188596163034,17.46953623705614,17.774029965866774,16.367833029223338,1.0,1.0,2.0
9,2.2246060783391863e-05,632.4177782535553,True,0,1.8115038984413403,1.759319953924008,85.34833132978419,0.5786303536634944,94.42211918255194,20.930173450111624,0.767657800242565,69.24838284961933,48.21111683553724,46.322628656477185,32.32125479420688,38.275230408151586,27.087411986948307,32.672162115747895,26.951743087755453,27.326120556414217,22.218787566546453,29.824832560535807,21.008071440838055,23.897189306771995,23.700269048027938,25.596771423664777,19.748697693056272,24.20058389146488,19.093250901597113,23.33390577594596,21.372144942469518,20.634266414791917,18.44925296239052,24.345411872459785,19.2804396359265,19.902112313240597,20.301104814242372,21.269105272196462,18.010189478504778,22.13292117465224,17.969546053008187,22.001259373747782,19.42068807602038,18.94785047798958,19.362298929532315,21.964623046539582,17.618066288854543,18.569465911042418,18.893468429789912,20.78596370713836,17.362756883622417,20.566145743889173,17.253420344610454,19.332531913675655,19.568950712691052,18.074303051119127,17.208197378212834,21.352681893640163,17.817276318049117,18.98505924781041,18.26664376896216,18.744060907893985,17.074245806857864,19.678287251703015,18.259202014997996,19.59700040070983,18.046825805712977,17.808117236247067,17.02444329955922,20.739023412902856,17.05134810235274,17.784647089129315,18.943270937088556,20.118495620814013,18.106932280038926,19.006812067090273,16.952315530368082,18.282672162115748,17.784074646516686,19.054324803938407,16.954032858205963,20.202644684870343,17.010132234243518,17.462361898219704,18.420630831759116,18.047398248325607,18.06686129715496,18.579197435457097,16.888201957753736,19.40923922376782,18.299272997881964,17.37993016200126,16.894498826492644,19.65653443242315,17.557387371915965,17.289484229206025,17.493846241914248,18.41891350392123,16.820081286850993,19.28902627511592,17.922605758772683,17.72282328696548,17.358177342721394,17.141794035147974,17.314671704161658,19.732669299902685,16.747381075047226,17.647260862098573,17.919743545709544,18.41089930734444,16.846986089644513,1.0,1.0,2.0
10,2.600054891759985e-05,633.423862695694,True,0,1.7840176474999465,1.734397554702892,87.13877221232143,0.6901296990132075,94.23582737853063,21.600536362021444,0.7577795210067829,69.68580417055854,48.45538052478669,46.590147213037724,32.43156513417646,38.47652556601665,27.078259574004782,33.063624225684634,27.20260846145471,27.61748677718628,22.4429685574956,30.355454446475537,21.432705476508374,24.132852746849736,23.984436332796587,26.012411967291083,20.01042926152806,24.767777020096386,19.5428316018085,23.938593424980947,21.740999031568574,20.958231380616475,18.90790732856185,25.184947481218735,20.09638471368239,20.412700777610322,20.796062094218637,21.85789844649846,18.556636047424487,23.080184976133037,18.603051991587826,22.85612776418408,20.005844970746494,19.761158450280504,20.063721641863744,22.74266656734037,18.327994544693972,19.4018646602754,19.451718822524914,21.706043814359145,18.10107215100654,21.221255064208723,18.09591482387728,20.00126067996493,20.36972305153316,18.672389389658985,17.800228068466385,22.250428344669903,18.50162455804572,19.70614696090173,18.877536402133988,19.560022692239368,17.84549793993433,20.329037470846774,19.01449208923322,20.33763301606221,18.673535462354376,18.39962408815591,17.800801104814077,21.509492347099577,17.81340790446338,18.503343667088803,19.621910617790487,21.228704536728767,18.822524912755217,19.75485505045585,17.734328888481397,19.228234646923653,18.489017758396415,19.969743680841674,17.697081525881188,21.019546269819894,17.810542722724904,18.250634637755073,19.18697602988958,18.957188454463665,18.700468170696066,19.465471694869603,17.575024783822037,20.321587998326734,19.123368995295372,18.145195949779094,17.74922783352148,20.359981433622334,18.5039167034365,18.038611189107726,18.148634167865268,19.23912233752987,17.729171561352135,20.135351185325685,18.693018698176026,18.633995954363385,18.116544132394317,17.985891845119735,18.244904274278117,20.690050369894962,17.59737320138216,18.4907368674395,18.60763628236939,19.341122807419676,17.52746276696331,1.0,1.0,2.0
