epoch,lr,time_sec,is_best,early_stop_counter,train_loss,val_loss,val_mag_acc,val_mag_mse,val_sign_acc,val_mod_acc,val_mod_loss,mod_acc_2,mod_acc_3,mod_acc_4,mod_acc_5,mod_acc_6,mod_acc_7,mod_acc_8,mod_acc_9,mod_acc_10,mod_acc_11,mod_acc_12,mod_acc_13,mod_acc_14,mod_acc_15,mod_acc_16,mod_acc_17,mod_acc_18,mod_acc_19,mod_acc_20,mod_acc_21,mod_acc_22,mod_acc_23,mod_acc_24,mod_acc_25,mod_acc_26,mod_acc_27,mod_acc_28,mod_acc_29,mod_acc_30,mod_acc_31,mod_acc_32,mod_acc_33,mod_acc_34,mod_acc_35,mod_acc_36,mod_acc_37,mod_acc_38,mod_acc_39,mod_acc_40,mod_acc_41,mod_acc_42,mod_acc_43,mod_acc_44,mod_acc_45,mod_acc_46,mod_acc_47,mod_acc_48,mod_acc_49,mod_acc_50,mod_acc_51,mod_acc_52,mod_acc_53,mod_acc_54,mod_acc_55,mod_acc_56,mod_acc_57,mod_acc_58,mod_acc_59,mod_acc_60,mod_acc_61,mod_acc_62,mod_acc_63,mod_acc_64,mod_acc_65,mod_acc_66,mod_acc_67,mod_acc_68,mod_acc_69,mod_acc_70,mod_acc_71,mod_acc_72,mod_acc_73,mod_acc_74,mod_acc_75,mod_acc_76,mod_acc_77,mod_acc_78,mod_acc_79,mod_acc_80,mod_acc_81,mod_acc_82,mod_acc_83,mod_acc_84,mod_acc_85,mod_acc_86,mod_acc_87,mod_acc_88,mod_acc_89,mod_acc_90,mod_acc_91,mod_acc_92,mod_acc_93,mod_acc_94,mod_acc_95,mod_acc_96,mod_acc_97,mod_acc_98,mod_acc_99,mod_acc_100,mod_acc_101,w_mag,w_sign,w_mod
1,2.2954884127418003e-06,750.9208998680115,True,0,5.017187549058407,4.252026730283175,54.11880745256131,5.060278701189404,93.69261911998302,12.198522791785898,0.9243767781224322,55.415952243051215,38.01460004702293,33.846762585802516,25.778315546813623,24.206488017754026,21.678145232046703,22.190236433597313,19.328718969165575,17.704707454281667,16.87320438345481,19.0861494526416,13.740444882815412,13.766823600924402,13.847106656038719,16.200547071675565,12.327463112803427,13.7014502560456,13.61772649856924,14.001364811936941,13.078683128515966,12.074571489193326,10.45342722627779,13.71693341667479,9.313981294048158,11.644483693938055,13.834490747377897,12.186967766353371,11.290091350647712,12.234564149028289,11.585418303389664,13.577584971012083,10.56983765619355,9.097217045239502,9.348961768062255,11.672009312834392,8.930342980680456,10.374864522344494,9.376487386958592,11.690933175825625,11.266579884507092,10.892690227831842,10.763090438861585,11.41395663568123,10.22691432077668,9.765286753869356,10.99189714593739,12.45075494744327,10.945447664049821,10.735564819965248,10.006135919212308,8.666555799590556,8.1206310248132,11.718458794721963,10.387480431005317,11.179415424668688,10.30891772707202,8.02314445788867,10.556074846745382,8.399327916138615,10.300889421560589,10.558368648320076,9.078293182248268,8.891348353910645,10.070935813697437,9.95223158220698,8.831136062574906,8.990555272016195,8.473876467316195,10.35880791132163,9.130477168072575,8.444630497238837,9.430391723963918,9.583502979074796,10.424181256200432,10.346765453054484,9.674681591668913,8.437749092514752,9.704501012139945,9.375340486171243,9.637407316080122,7.507612553976019,9.327744103496327,9.227963734997104,9.14194617594605,8.78353967989999,9.168898344448714,9.88227063417879,8.973351760205983,9.086894938153375,9.147680679882788,7.519081561849491,9.906355550713085,9.984344804252707,9.203305368069135,10.885808823107757,9.092055991696437,8.562187827941944,8.179122964967915,9.149974481457482,9.229684086178125,1.0,1.0,2.0
2,3.1746775341284927e-06,749.3552458286285,True,0,4.118336884761592,3.959589725878519,59.554680800860936,3.9085545103339054,93.82837543090301,14.65099014174479,0.8972796670077705,59.837825083590864,40.027508733159536,35.954144438113985,27.539809971052527,27.23191933840921,22.34537847527955,24.295736146360273,20.494006203852376,20.72708229024591,18.006134792792484,19.60543959300887,16.5501286234699,16.87470865489201,16.605951784902427,18.31805390100309,15.246053532685325,16.549553126960284,14.544523287466262,16.154762521365306,15.11196284594534,14.64638616966788,13.6663156137958,15.98096257546198,13.65192820105546,13.753215586747466,14.927803962868966,14.475463706312622,12.9210476338461,14.822488101609663,13.102904530884022,15.533226290982546,13.978810218516024,12.772569534365774,13.3083567848161,14.434027957620438,12.167722702761807,12.539493447972239,12.375476942732343,14.26655847332286,12.636176861587334,13.642720256901642,12.044566449704483,12.980323774336307,12.78753244361573,12.186138591069446,11.928316154762522,14.217065773496085,12.851412556182847,12.993560194057425,12.2137624235309,12.301813389501792,11.596830165225049,13.175417091095342,12.605100050068197,12.915292668749965,12.064708827540962,12.24023526297313,11.638265913917232,12.716170876423636,11.557696402571318,12.108446562271599,13.029816474163084,14.078946611188803,12.492878230693531,12.245414731559654,11.59222619314814,12.431875600674482,11.547912961907885,12.57114575600099,11.72746787290735,13.352670016056353,11.004644256832583,11.690060599782463,12.362240523011229,12.262679626848064,12.107295569252372,11.477126891225405,11.494391786513814,12.648262288289223,12.4410835448283,11.019031669572923,11.391953407802582,12.650564274327678,11.8684645177627,10.907960843217486,10.962633011630786,11.820122810955151,10.813579415640843,12.00025321846423,12.077945247262075,11.296996483716326,11.839689692282017,11.101903166957293,11.902418811829907,12.758757618135046,10.9085363397271,11.508203702744543,11.866162531724244,12.074492268204393,11.024211138159448,1.0,1.0,2.0
3,4.6159181809952e-06,752.2379710674286,True,0,3.886583535075535,3.726847204534777,63.73560605624644,3.109567830618721,93.83844254795105,15.905024428702143,0.8687168686575885,64.29266103089698,41.787179679002826,39.492205258644994,28.542161810658857,30.596589764690314,23.151158708875474,26.589016579291137,21.57609727745136,22.327661117217488,18.726369762503523,22.15041635255595,17.468967779433854,18.698171731761917,18.256786230153477,20.222591801854165,15.964113689856191,18.45935167548095,15.340304193449999,17.593844772718118,15.980226850279966,16.18682058571338,14.572627193260097,17.565646741976508,15.102059607184168,15.187804639439262,15.526181008338561,15.877793187585961,13.734167381208604,16.15229238480529,13.637488418665948,16.837677172830908,14.570325313199556,14.20605279361919,14.44199549982448,15.792048155330868,13.155820015998065,13.923497016187971,13.622526198272439,15.350662653722427,13.181716166679136,14.810296309510793,13.046480713122444,14.417250289173683,14.039741959245214,13.380828791915796,12.889377398990625,15.184351819348452,13.699063710285376,14.192816983271086,13.356659051280134,13.753733361723185,12.629840422164804,14.30906192632833,13.371045801658504,13.999459058185773,13.030367552698666,13.022886442501914,12.549850090061057,14.338986367115341,12.575746240742125,13.167904886315899,13.725535330981579,15.202191389817635,13.465998354155756,13.487290744715747,12.663217683042625,13.342272300901762,12.703500584102065,13.67719584971025,12.600491451392926,14.379269268174783,12.494029498592976,12.838160567643623,13.489592624776286,12.958433800806809,13.021735502471643,13.05108447324352,12.380661905611408,13.84983685425071,13.444705963595766,12.379510965581138,12.49575590863838,13.901629155612847,12.949801750579788,12.557906670272946,12.346709174718452,13.002169521957057,12.243124571994176,13.540233986108156,13.000443111911652,12.66494409308803,12.51474641913783,12.51474641913783,12.617180081831837,13.848110444205306,12.176945520253666,12.860603898233883,12.974546961230585,13.216819837602362,12.3144828538709,1.0,1.0,2.0
4,6.583721194081791e-06,752.2049298286438,True,0,3.714579888569038,3.5614042476392043,68.7370160799752,2.836536156461723,93.88191949682647,16.866396180288547,0.844132758130572,65.25302145144445,42.14939111871176,41.059028774088404,28.89288050776453,31.674452236390554,23.565025766983826,27.92016252137684,22.484993170888472,23.154705200454508,18.975748045955903,23.6849656248924,17.819963960655137,19.713177315872233,18.817358568526405,21.297072090167227,16.49029577513285,19.582333834517428,16.131050076325366,18.523534610396318,16.85987122246835,16.948247959874667,15.608250025824372,18.589530225991943,15.856737865414855,16.095469831395548,16.416265910682107,16.840359475248775,14.56953642384106,17.12155818517796,14.301536837031001,17.687398854545663,15.350580187542324,15.214571831923514,15.32360806638585,17.077369816474803,14.046736373340066,14.827206262123108,14.60626441860732,16.377816291161178,13.876295522627888,15.855590115578408,13.825220654906056,15.1261950945172,15.00855073628152,14.277434090465643,13.837272028188735,16.34740092049537,14.182744728958877,14.933946996912553,14.173562730267312,14.888037003454727,13.45621908248878,15.257612450790226,14.357202704098615,15.175548337484363,13.964672260034202,14.062804871050306,13.346035098189999,15.749423255707187,13.503850700701275,14.038128249566725,14.76063677160926,16.260745807843723,14.18561410354999,14.664225785347826,13.443593834287878,14.350890079998162,13.895807269847463,14.65676541141093,13.47802632938125,15.582425654504345,13.373007219346473,13.719053795034833,14.314735960150127,14.163232981739299,14.182170854040654,14.140277985010389,13.379319843446922,14.979283115452155,14.537973303338806,13.618051809427618,13.383910842792703,14.761210646527484,13.901546019029693,13.575585065479128,13.42580371182297,14.520183180873897,13.341444098844216,14.97756149069749,14.02894625087516,13.853914400817196,13.627233808119183,13.502702950864828,13.601983311717378,15.283436822110252,13.178463622068934,14.08805536745211,14.085759867779219,14.301536837031001,13.36267747081846,1.0,1.0,2.0
5,9.029631324311132e-06,751.6897146701813,True,0,3.567815630899034,3.4428988696532423,66.4050226411607,2.648150536657294,93.84068015895018,17.61233943258479,0.8291393939635529,65.95566491082155,43.39421033176231,41.529202476665745,29.781790037889287,32.68933093059791,24.591072913778763,28.31473523703909,23.156940208853154,23.818847611126515,19.71918029756954,24.02619905738841,18.379193235375656,20.286364476480916,19.70185287866186,21.440948156362627,16.98953423897976,20.14023657702615,16.69034747250716,19.383605951390813,17.722484058774604,17.361496164864615,15.880579428888272,19.329890952777006,16.531512799186768,16.857845855281397,16.896543757508546,17.0900332686443,15.06561315959708,17.799879863228906,15.038466869975048,18.32605581739211,15.784123463635524,15.845924591072913,15.963173459014879,17.509934386840403,14.717332039552723,15.402342667036317,15.43815266611219,17.013792625450513,14.60239349413178,16.683994085574348,14.44009333702985,15.82051104334165,15.783545883005267,15.07543203031143,14.634160428795859,17.053645688938175,14.85710655207467,15.693443304685333,14.950674614176137,15.52998798632289,14.665349782829685,15.94411329821643,15.097380094261158,15.953932168930782,14.829960262452637,14.798193327788558,14.32226688845763,16.54999537935496,14.225810923204879,14.765271231863968,15.620668145273081,16.85611311339063,14.875011551612605,15.460100730061916,14.255845115978191,15.260257831993346,14.756607522410128,15.580237501155162,14.375981887071434,16.361704093891507,14.376559467701691,14.591997042787172,15.260257831993346,14.903313002495148,15.02518251547916,14.963381388041771,14.24025043896128,15.91119120229184,15.293757508548195,14.4499122077442,14.254112374087422,15.653012660567414,14.774512521948063,14.579867849551798,14.416990111819612,15.333610572035855,14.169785602070048,15.926208298678496,14.806279456612142,14.6572636540061,14.456265594677017,14.333818501062748,14.509980593290821,16.003604103132798,14.202130117364383,14.80108123093984,14.887718325478236,15.112397190647814,14.095277700767028,1.0,1.0,2.0
6,1.1893420396509023e-05,754.3320109844208,True,0,3.451656168362535,3.3216201766406006,70.24925891322653,2.156141942123001,94.01075008362457,18.409633551333958,0.8155235439989981,66.62341257482957,44.03208876893087,41.914368432587054,30.216731836165035,33.2220261370059,24.631763498160257,28.81760614554137,23.748803303459173,24.343979607137502,20.131031062205153,24.66521332918094,18.88069944750107,20.851355871598788,20.23830120996113,22.21184124018132,17.59403439565383,20.61490016955604,17.33047279605984,20.118343195266274,18.327047071986343,18.117120546270343,16.37599916952144,20.201391051593482,17.27799116463084,17.40486983401963,17.59288095320484,17.953331718513905,15.77217204747569,18.878969283827583,15.766404835230746,19.018535820155254,16.58131192544148,16.602650610747776,16.8414131976885,18.327623793210837,15.476314059310011,16.446359158909765,16.52363980299203,17.858749437696805,15.396149809105275,17.425055076876937,15.291763267471769,16.750867965442865,16.882937125852106,16.028812992375745,15.344821620125265,18.07559661810674,15.657981245025779,16.45962374707314,15.875405146660206,16.28314705237782,15.287726218900307,16.896778435239973,16.039770695641142,16.877746634831656,15.756600574414339,15.575510109923066,15.200064592777144,17.573849152796523,15.02416461930632,15.569166176453624,16.524793245441018,17.5761560376945,15.88347924380313,16.314289998500524,15.174688858899385,16.066876593192383,15.717960252373208,16.443475552787294,15.114133130327462,17.271070509936905,15.219096393185463,15.429022918901461,16.05649561115148,15.817733024210757,15.855219903802901,15.875405146660206,15.082990184204759,16.866212210341764,16.299295246663668,15.276191794410417,15.078953135633297,16.532290621359447,15.554171424616769,15.467086519718098,15.311948510329076,16.132622812784756,15.016090522163397,16.720301740544656,15.77217204747569,15.415758330738088,15.468239962167088,15.291186546247276,15.617034038086668,16.98732366748561,15.137778700531737,15.77217204747569,15.833304497272108,16.141273631152174,15.043773140939132,1.0,1.0,2.0
7,1.5104570370061202e-05,753.887243270874,True,0,3.346144440810071,3.208634478943173,69.29191001140408,2.1398197711533675,93.94431581251223,19.129839536464274,0.8034688704782648,67.12513391160107,44.44252456485929,42.40822015643179,30.543940284065386,33.954222391171626,25.180564674983586,29.48013500593243,24.51532639872827,24.841897916162697,20.627570238794625,25.333195102003202,19.387520014744673,21.639538768128464,20.922463743074037,22.853670617778853,18.123855271797353,21.417216712167814,17.827233875891306,20.47724366727719,19.185356694428126,18.7781502344173,17.118222345094516,21.023833385170082,17.96661713377337,18.088145511513517,18.59038601098939,18.779878126043933,16.51115642026932,19.415166280770872,16.464503346350117,19.74519358145857,17.458041031666493,17.243206506087937,17.69879393164461,19.20781928557441,16.122380804275956,16.99151029247446,17.088848187441684,18.61630438538895,16.151754961928788,18.169356417965467,15.980117727016161,17.313474098904518,17.733927728052898,16.619437628871918,16.025618873184275,18.866272707375796,16.44952828558593,17.26048542235431,16.596975037725635,17.166603310640358,15.89833085668867,17.694762184515785,16.707560101830413,17.740839294559446,16.427065694439644,16.173641589199526,15.770466876317519,18.251719252168506,15.813664166983447,16.345278824112153,17.16890716614254,18.40607757081476,16.628653050880647,17.172362949395815,15.839006577507458,16.799138358042185,16.26752370091348,17.303106749144696,15.82403151674327,18.095057078020066,15.901786639941943,16.183432975083804,16.838303901579295,16.59927889322782,16.595823109974543,16.87631751736531,15.885659651426662,17.55825874601145,17.158539816382717,16.17421755307507,15.870108626786926,17.571505915149004,16.343550932485513,16.14829917867551,16.03022658418864,16.88322908387186,15.799841033970349,17.654444713227583,16.496181359505133,16.270403520291207,16.28653050880649,16.1166211655205,16.235845687758463,17.97237677252883,15.887963506928845,16.453560032714748,16.66609070279112,16.869981914734307,15.799841033970349,1.0,1.0,2.0
8,1.8584009777570935e-05,751.543794631958,True,0,3.2604798273111264,3.1116268322548293,69.87408620252289,2.0865825763436106,93.9608652537878,19.889877314761435,0.7907218311385309,67.27970850725272,44.96171851578535,42.72940064109956,30.997624703087883,34.34783110024676,25.559232525424903,29.870511726587186,24.899684062449552,25.286534603233168,21.135530290800915,26.052740815902958,19.69017365034707,21.91557318451214,21.58925812328483,23.523510827202916,18.58381569540853,22.02280746258331,18.27076078684593,21.29465212277748,19.577750616885364,19.095196365565112,17.59506952932223,21.551783778797592,18.579779996771443,18.553836219818738,18.9891151442474,19.4555266010193,17.32410119226068,20.109309780227385,17.18458132509282,20.455226806263404,18.06609321310795,17.942716140488436,18.485805871364988,19.94672877799045,16.871526416530223,17.891981643336486,17.867767451513963,19.509143740054885,16.822521504508455,19.04849756705025,16.78620021677467,18.25865369093467,18.584392223785255,17.546641145677192,16.7371953047529,19.735719392108482,17.320065493623595,18.161796923644584,17.540299333533195,17.879874547425224,16.748725872287434,18.644351174964832,17.68962018310541,18.763116020570532,17.390978483960982,17.138459054954687,16.849041809837882,19.254318197541682,16.72508820884164,17.181698683209188,18.082236007656295,19.4036390471139,17.45036090676383,17.942716140488436,16.650139519867167,17.611788852247308,17.198994534510987,18.18139888845329,16.63399672531882,19.031778244125174,16.77524617761686,17.11770403339252,17.87410926365796,17.502248460669236,17.426723243318037,17.657334594008717,16.734889191245994,18.586121808915436,17.708645619537393,16.957429144662502,16.71413416968383,18.416622466157783,17.256647372183657,17.007587113437722,16.975301524341027,17.991144524133478,16.665129257662063,18.40739801213016,17.43191199870858,17.21283121555243,17.173627285935016,17.063510365980214,17.222055669580058,18.749279339529092,16.6443742360999,17.435371168968935,17.622742891405117,17.86546133800706,16.73373613449254,1.0,1.0,2.0
9,2.2246060783391863e-05,753.3407320976257,True,0,3.185816323281584,3.0473159869419404,69.63513210734045,2.306478095267071,93.98895802094643,20.60236810809879,0.7795357200402736,67.50027288970085,45.6110718532945,43.398654510148624,30.965225234541517,34.594945508235526,25.92567059053331,30.586052176510805,25.37299713322188,25.610842051441146,21.603097728983183,26.4852381034453,20.418469174953895,22.54183829992589,22.079936574688475,23.9625882582743,19.158006009318466,22.54241280455927,18.79491908102239,21.79613128579882,20.211073002303763,19.728489110264675,18.075064775397415,22.53149721652505,19.22522305142391,19.35850812636804,19.658974049625712,20.150750015798877,18.019912330592945,20.768342496682234,17.8757116676146,21.27505558332328,18.753554747419038,18.637504811476305,19.113194647914835,20.902776580893125,17.548818531221457,18.679443649713036,18.66680454777868,20.224286608871502,17.602821966759162,20.00080430648673,17.508028702251483,19.121812217415535,19.44755634454192,18.287631489747966,17.501709151284306,20.75110735768084,18.210647868875064,19.029316971441375,18.210647868875064,18.690933742380633,17.442535174046178,19.44123679357474,18.35714655038693,19.4423858028415,18.037721974227722,17.938332672653004,17.386808224608334,20.00712385745391,17.39082975704199,18.03944548812786,18.87075369262853,20.224286608871502,18.196285253040564,18.857540086060794,17.50917771151824,18.543286051602006,17.932587626319208,18.97129200347001,17.464940854747994,19.841092018407128,17.451152743546878,17.893521311249376,18.60246002884013,18.26292779051263,18.190540206706768,18.591544440805915,17.453450762080397,19.38895687193717,18.629461746608985,17.724042444402315,17.46838788254827,19.378041283902956,18.070468738330376,17.796430028208178,17.83549634327801,18.622567691008427,17.554563577555253,19.31369676496441,18.166985516738194,18.00612421939183,17.859625537879964,17.718297398068515,17.87513716298122,19.53258303028214,17.472409414981932,18.20834985034154,18.4036814256907,18.677145631179513,17.47757995668235,1.0,1.0,2.0
10,2.600054891759985e-05,757.1809828281403,True,0,3.118670065248853,2.992706374877823,69.52730874663104,1.9849968841873298,94.16622515030753,20.968556356683788,0.7723829839920693,67.73571214669093,45.57485429960148,43.575936974499555,31.24899219091935,35.347031858284765,26.050425007486584,30.436986017368874,25.214231416000555,25.855197991292528,21.550413489668518,26.87970790813388,20.65663080785976,22.992444311349658,22.529428025154914,24.273225680127155,19.370666420953214,23.065582456059524,19.128792241597754,22.346294717928636,20.5477874271498,20.259266084632927,18.62316002856419,23.09840823754348,19.56071041901822,19.609085254889315,20.03351685056783,20.694063716569534,18.285687959272995,21.446177236184376,18.26553177766004,21.789408214507844,19.132247587017115,19.219207113404437,19.532491764760085,21.26189214715164,17.97470687153026,18.911681371081063,18.862154753403516,20.867406878440946,17.98507290778835,20.31800695676211,17.867015272626755,19.53537121927622,19.748450853470317,18.62258413766096,17.848010872820254,21.136347930248096,18.52525857501555,19.511759692243903,18.53735228398332,19.176015295662392,17.786390546174932,19.757089217018727,18.753311372693556,19.840593397986687,18.306995922692405,18.426781230563684,17.768537928174887,20.493653682246435,17.72073898320702,18.41411163069268,19.15758678675912,20.653175462440394,18.605307410564144,19.11036373269448,17.796756582433023,18.80341388127433,18.308147704498857,19.45013936559858,17.838796618368615,20.21665015779411,17.85146621823962,18.32484854069245,19.096542351017025,18.760222063532282,18.575361083596324,18.91283315288752,17.782359309852342,19.887240561148094,19.04240860611366,18.168782105917856,17.85146621823962,19.693741217663728,18.461910575660546,18.08700559765958,18.095643961207987,19.005551588307114,17.968372071594757,19.624634309276452,18.574209301789868,18.471124830112185,18.270138904885858,18.121559051853218,18.29317454101495,20.055400704890467,17.785238764368476,18.563267374628552,18.745824790951602,19.079265623920204,17.879108981594527,1.0,1.0,2.0
