epoch,lr,time_sec,is_best,early_stop_counter,train_loss,val_loss,val_mag_acc,val_mag_mse,val_sign_acc,val_mod_acc,val_mod_loss,mod_acc_2,mod_acc_3,mod_acc_4,mod_acc_5,mod_acc_6,mod_acc_7,mod_acc_8,mod_acc_9,mod_acc_10,mod_acc_11,mod_acc_12,mod_acc_13,mod_acc_14,mod_acc_15,mod_acc_16,mod_acc_17,mod_acc_18,mod_acc_19,mod_acc_20,mod_acc_21,mod_acc_22,mod_acc_23,mod_acc_24,mod_acc_25,mod_acc_26,mod_acc_27,mod_acc_28,mod_acc_29,mod_acc_30,mod_acc_31,mod_acc_32,mod_acc_33,mod_acc_34,mod_acc_35,mod_acc_36,mod_acc_37,mod_acc_38,mod_acc_39,mod_acc_40,mod_acc_41,mod_acc_42,mod_acc_43,mod_acc_44,mod_acc_45,mod_acc_46,mod_acc_47,mod_acc_48,mod_acc_49,mod_acc_50,mod_acc_51,mod_acc_52,mod_acc_53,mod_acc_54,mod_acc_55,mod_acc_56,mod_acc_57,mod_acc_58,mod_acc_59,mod_acc_60,mod_acc_61,mod_acc_62,mod_acc_63,mod_acc_64,mod_acc_65,mod_acc_66,mod_acc_67,mod_acc_68,mod_acc_69,mod_acc_70,mod_acc_71,mod_acc_72,mod_acc_73,mod_acc_74,mod_acc_75,mod_acc_76,mod_acc_77,mod_acc_78,mod_acc_79,mod_acc_80,mod_acc_81,mod_acc_82,mod_acc_83,mod_acc_84,mod_acc_85,mod_acc_86,mod_acc_87,mod_acc_88,mod_acc_89,mod_acc_90,mod_acc_91,mod_acc_92,mod_acc_93,mod_acc_94,mod_acc_95,mod_acc_96,mod_acc_97,mod_acc_98,mod_acc_99,mod_acc_100,mod_acc_101,w_mag,w_sign,w_mod
1,2.2954884127418003e-06,331.7655475139618,True,0,3.743409309508013,2.8275355385124197,48.08164948926102,3.6854015386860404,92.14842653436531,10.256377792163894,0.9629572076209072,51.783719371415806,35.55293295369262,30.688452085636865,24.498857067561914,23.079787569249103,19.33360450527353,20.153995107447106,17.471111594892037,16.005637320897616,14.369439304272102,16.295523944291354,12.172946588676089,12.98703530773241,11.767907373776145,13.90940183671248,11.369170041993458,12.893079959438788,10.834655773957182,12.231382232127,11.52156103373799,10.795125779858036,10.072700815234516,12.190133542632239,10.097335449238331,8.431346712422158,9.492927568447044,11.005379516588274,9.020286334652909,11.040899221430985,8.386087733670962,11.227091222622615,9.80687592737939,8.512125396016064,9.144605301602397,11.053502987665496,8.578581617979845,9.136011824624322,8.903987946216292,9.278090643995164,8.478897285034174,9.705472899038103,7.536479309771929,9.27637194859955,8.14146008902842,8.519000177598524,6.433649764252282,9.005963873022784,7.046078223556439,8.388952225996986,8.696598701812079,9.211634422031384,8.473168300382124,7.617830891831042,8.28640340072529,6.39583846554875,8.798001730153365,6.597498725300915,8.328224988685255,9.857863890782637,7.676266535281952,6.409588028713671,7.0724315529558694,7.54220829442398,8.902842149285881,9.07986777503423,6.443961936625972,8.218228483365893,8.218801381831097,5.675705094786051,8.106513282650916,9.606361464557637,7.617830891831042,6.0331937370739785,8.713212757303024,6.8232207205916895,8.458845838751998,8.259477172860654,7.518146558885369,6.765930874071188,7.643038424300061,6.1964697996574065,5.88137564379465,7.115398937846246,6.36490194842768,5.581749746492429,6.559687426597384,6.087046192803249,6.083035903546814,7.367474262536451,6.4302123734610515,6.694891464385767,8.159792839914983,6.555104238875745,6.718953199924377,8.679411747855928,7.309611517550745,7.801158400696645,6.415889911830925,6.82207492366128,6.139179953136906,1.0,1.0,2.0
2,3.1746775341284927e-06,329.8375928401947,True,0,2.691689187347299,2.470341767087943,62.356531165933426,1.8979506390240577,92.74066341250767,10.966381975553656,0.9394760565513505,51.98834468082666,36.48940868757206,30.935350835431713,24.325890066020044,23.047934794454548,19.389587073608617,20.85625297549056,17.70782546847844,16.066215061287934,14.07414205493831,16.229687795756593,12.844941809442414,13.195404408601533,13.61068251300612,15.145031862843508,11.421868636752112,13.25563120551104,10.618271089416718,12.397542746686092,12.04019708502303,10.662437407150355,10.072214797437207,12.24324742888936,10.267808490257599,10.21044963605807,11.058787089669096,10.770272053045469,9.12292576043501,11.279045089795286,9.293855145949605,11.957026746433714,9.511818791907812,9.077612265617383,9.962085797374112,10.854589568718776,8.844735317567297,9.000177812448019,9.016238291623885,10.30050303715133,8.682983348724624,9.787714880607545,8.578590234081485,9.207816864650312,9.660378224284592,8.634801911197023,8.553925926775687,10.775434349923426,8.532129562179867,8.74206296855014,8.5889148278374,8.891769578010909,8.29810543704579,9.343757349103194,8.640537796616975,8.105953275477368,8.443223338170597,8.306135676633723,8.22755404638037,9.689057651384356,8.152413947378987,8.190270791150676,9.318519453255401,10.555749938339233,8.611284780975215,8.236731463052294,7.746886848188321,8.432325155872686,7.9046236972370245,8.782787755031805,8.046873655651856,9.822703781669258,7.9837789160323736,8.013605520216128,8.713957129992371,7.822026947189703,8.369804004795201,8.387585249597054,7.852427139915454,9.026562885379802,8.84072019777333,7.427971618838942,7.886268863893175,8.87341474466706,7.943054129550708,7.769830389868132,7.753196322150268,8.257380650564123,7.9614089628945575,8.958305848882363,8.274014718281988,7.903476520153034,7.943627718092704,6.650185555893335,7.951084369138642,9.032298770799754,7.854721494083434,7.943054129550708,8.130617582783167,8.489684010072216,7.986073270200354,1.0,1.0,2.0
3,4.6159181809952e-06,334.2643930912018,True,0,2.4534264862467956,2.281219701411699,73.53148961833377,1.3805985237639322,93.45567330059447,10.981034433244306,0.9132791370396287,52.9249590764194,36.94954194308033,30.398322851153043,24.172769305878635,23.622526636225267,19.139025300824215,19.987363947043452,17.700238361908045,15.36314293098992,14.185118175813447,15.764050429338617,12.782516297636484,13.10243818385457,12.139800694982911,14.443008529335746,12.282243473765831,12.926682174549843,11.103069986502398,11.600470980155652,10.863559346371442,10.381091869848655,10.57293012837081,11.960024123373826,11.149593636024239,9.780879354412567,10.463226214066225,10.611987019327419,9.756755980586428,10.558570977283823,9.821659343499613,11.261020648459263,9.639010941673128,9.683237127021052,9.448895781281411,10.302403721891961,9.480485913672783,9.679790930760173,9.296114413715861,9.868757359064933,9.318514689411563,10.002010281152177,9.099681226845869,8.200224002756958,9.363315240802963,9.453490709629246,9.249016398150541,9.684960225151489,8.575859395192555,9.130122627150284,8.216880618017864,8.037104046408777,9.28462709284627,8.017001234886994,8.471899141322766,8.23181413514833,7.95209787197381,9.12150713649809,9.533327589672899,9.554004767238162,9.208236409063495,8.600557135062175,8.486258292409753,9.843485253151833,9.169753884150369,8.019873065104392,9.059475603802303,8.522443353148962,7.950949139886849,7.795870308147382,9.00605956175871,9.195600356106945,8.628126705149192,8.777461876453865,7.791849745843026,8.006088280060883,7.5592314982338245,7.466758565233624,9.04052152436748,8.458114356279257,8.352431004279028,8.331179460670285,8.915309726888946,8.580454323540392,7.9452054794520555,8.426524223887883,8.813646937193074,7.469630395451022,8.966428304758622,7.5862267022773615,8.540823066540307,8.25651187501795,8.042847706843572,8.65454754314925,8.524740817322881,8.566669538496884,8.933115074236811,7.221504264667873,7.3300594468855005,7.450676316016197,8.943453663019442,1.0,1.0,2.0
4,6.583721194081791e-06,332.9052150249481,True,0,2.3085608462747196,2.258002561656921,63.64352541359264,1.3133622969146894,93.74708889438365,12.617022133028183,0.897577321501633,53.59769526690167,37.60889691379678,31.521020338924572,25.461320391252595,24.405559421056566,20.434955118658102,21.226775846305124,18.677078601289224,16.973255205488115,15.869766479014164,16.628810313795622,14.400556632145506,14.506937775656544,13.916953704076409,15.690356118065818,13.412649580513275,13.95835609506449,12.723184763920118,12.940547316607534,12.745036025830492,12.56160043242497,11.779555269316804,13.154459670045945,12.303410521957643,11.90433747548921,12.374139606562279,12.335612381615038,11.406933750424086,12.034870013743294,10.92620598839583,12.360913842774421,11.396583152677067,11.12229231238104,11.072839456478611,11.673749159013932,10.831900542256315,10.955532682012386,11.228673455892078,11.490888598816582,10.55185936987861,11.442010776122322,10.47422988677596,10.930806254061173,11.346555263566472,10.635239185062938,10.27584342995808,11.732977579455213,10.70424317004307,10.891703995905763,10.589236528409515,10.63983945072828,10.261467599753885,10.901479560444615,10.533458307217241,10.731844764035122,10.328746485109514,10.122309563377286,10.103908500715916,11.076864688935787,9.854919121579272,10.182688050234901,10.632364019022098,11.575418480417245,10.439727894285895,10.344272381730045,10.018228552698918,10.39200013800797,9.974526028878168,10.273543297125409,10.03835471498479,11.051563227776404,9.913572508812383,9.74681287844373,10.671466277177508,10.287919127329603,10.245941703133356,10.331621651150353,9.753138243733575,10.820974911301127,10.687567207006204,9.65883279759406,9.723811550117018,10.576010764621657,10.141860692454989,9.85549415478744,9.79339056830532,10.396600403673311,10.01477835344991,10.090107703719891,10.14416082528766,9.83709309212607,9.667458295716576,9.779589771309292,10.141860692454989,11.006710637539317,9.884245815195827,9.843993490624085,10.008452988160066,10.226390574055651,9.785915136599138,1.0,1.0,2.0
5,9.029631324311132e-06,333.44720220565796,True,0,2.2287899148832175,2.1807975717695545,76.63653384486383,1.0732392388970629,93.28443928829874,13.217863747573485,0.8949198880351048,54.36370737086344,38.34353714147877,32.79155515225307,26.37406816067265,25.43045520853674,21.33265946082542,22.40951538611746,19.424757922787993,18.396145142949035,16.69040535728644,18.152632123042995,15.194867848240849,15.557840085459288,15.500407769443711,16.708209375251265,13.964093316027062,14.976050724221505,13.224365085746449,14.256423804546342,13.53277662275009,13.082507265187976,12.410549167805742,14.22943061601902,12.727575552211718,12.469704453301784,12.930885950906855,12.962473724715423,11.921225835353036,13.165209800250405,11.473828093591703,13.55172928703523,11.909739372149922,11.567442768697092,12.024029681020917,12.673589175157076,11.215956994681768,11.539875257009614,11.64612504163843,12.266968377766801,11.147038215463077,11.779368014794564,11.027578998150679,11.457172721947186,11.823016574966402,11.121767996416224,10.816802398373516,12.480616593344743,11.054572186678,11.341733766755878,11.002308779103826,11.078119436244387,10.483694965483178,11.48761184943544,11.017241181267876,11.523219885365098,10.805890258330557,10.607174444916666,10.415924832584798,11.708726266095407,10.311398017436451,10.65943785249084,11.238929921087998,12.143488898333315,10.823694276295386,10.909268427158594,10.155182117874086,10.734099863311087,10.540552958338598,11.09649777736937,10.307952078475518,11.547341458091639,10.260857579342744,10.244776530858383,10.948322402049184,10.723762046428284,10.593390689072928,10.703660735822833,10.064439058569477,11.275112280177812,11.047105985595977,10.121871374585051,10.172411812678758,10.958085895771832,10.552039421541712,10.257985963541966,10.303931816354426,10.738120125432179,10.177006397960005,10.821396983654763,10.499776013967539,10.384337058776232,10.25339137826072,10.15173617891315,10.488289550764424,11.326227041431673,10.040317485842934,10.244202207698228,10.581329902709657,10.78923488668604,10.022513467878106,1.0,1.0,2.0
6,1.1893420396509023e-05,323.26363229751587,True,0,2.1727413316938025,2.099981191133315,77.99226028378959,0.8383476773787317,93.65457933209116,13.951750035832019,0.8833504040943452,55.13487172137022,38.874014619463956,33.42525440733839,27.114805790454348,26.05417801347284,22.1155224308442,22.9422387845779,20.21384549233195,19.3951555109646,17.51641106492762,19.141178156800915,16.197219435287373,16.627776981510678,16.55783287946109,17.54393005589795,14.683674931919164,15.923749462519707,13.835172710333953,15.341837465959582,14.61946395298839,13.916583058621185,13.082986957144904,15.299985667192203,13.519277626487028,13.209688978070805,13.825999713343846,13.856385265873586,12.428264296975778,14.137881611007597,12.173140318188333,14.512827862978359,12.762505374802924,12.49534183746596,13.049734843055754,13.624767091873297,11.784434570732406,12.076823849792175,12.274043285079546,13.212555539630214,11.643399742009459,12.808943672065357,11.469112799197363,12.345707324064785,12.682241651139458,11.56485595528164,11.363623333811093,13.307152071090728,11.694424537766949,12.151354450336822,11.683531603841192,11.848072237351296,11.04887487458793,12.368066504228178,11.79188763078687,12.333667765515264,11.494911853232049,11.153791027662319,10.955424967751183,12.524580765371937,10.93363909989967,11.201949261860399,12.045864984950553,13.044001719936935,11.635373369643114,11.765515264440305,10.774258277196502,11.375089580048732,11.129138598251398,11.911709903970188,10.834456069944103,12.461516411064927,10.785151211122258,10.863121685538198,11.610720940232191,11.263293679231762,11.369356456929914,11.318904973484306,10.672781997993406,12.109502651569443,11.751755768955139,10.77024509101333,10.71004729826573,11.865844919019636,11.135445033682098,10.695714490468683,10.855668625483732,11.440447183603268,10.699727676651856,11.790741006163108,11.19334957718217,11.013329511251255,10.7553389709044,10.713487172137022,11.008169700444318,12.083703597534758,10.629783574602264,10.929625913716496,11.267306865414934,11.454779991400315,10.570159094166547,1.0,1.0,2.0
7,1.5104570370061202e-05,322.31495213508606,True,0,2.0984034296483167,2.07383116132583,74.68596207454314,0.9409112444659246,94.14541533308095,14.047750972227002,0.8778543294655707,55.28730885271478,39.280265225820514,33.95108464971149,27.23325417856856,25.976528891489142,22.140390726273644,23.14416491723165,20.289431118147093,19.371694714985487,17.33317272946278,19.08318133324156,16.151587110392217,16.68215346847002,16.54850810475961,17.836206995445732,14.674031501302037,16.10111160821833,13.992612221954548,15.376099849720665,14.721639077216048,13.98974429569467,13.240641956614011,15.374379093964736,13.677713918619725,13.415585458466692,13.917472553945693,13.966227300363654,12.369365958862467,14.169850064815135,12.160007341891225,14.815133473288133,12.910256851475834,12.500143396312993,13.024400316619058,13.72417432402978,11.811267508689816,12.064218604811233,12.216218696584875,13.338151449449931,11.550286219040736,12.946392722350323,11.500957887370799,12.396324465705339,12.805290750364225,11.649516467632584,11.305365316446983,13.50047607575914,11.83937318603664,12.296520631861513,11.69024102052288,12.098060134677818,11.177455805256335,12.438769774351561,11.969577038235194,12.55922267726652,11.606497573734384,11.257757740532975,11.032912321758383,12.71867937731585,11.110346330775144,11.153365224673344,12.199011139025593,13.345608057725618,11.682784412247193,11.905909075265857,10.837893336086543,11.467689942756191,11.170572782232622,12.023494051920936,10.88722166775648,12.58388684310149,10.868866939693246,10.895825446536119,11.5726560438678,11.315689850982553,11.408037076550688,11.546271122276904,10.827568801550974,12.183524337222241,11.834210918768855,10.86141033141756,10.764474423833615,11.959252503699624,11.192942607059688,10.76218008282571,10.847644285370135,11.573229629119776,10.754723474550023,12.036686512716384,11.425818219361943,11.077078386160535,10.932534902662583,10.68474607380895,11.033485907010359,12.426724484060065,10.640580009406799,11.205561482603159,11.378210643447936,11.574376799623728,10.623946037099493,1.0,1.0,2.0
8,1.8584009777570935e-05,328.1099143028259,True,0,2.0378332452400523,2.0383764333303094,74.82038745810954,0.9763203971954995,93.80308038378551,14.508997842354129,0.8649011390311893,55.32181058623698,39.492953220401226,34.365675067713354,27.57368131111417,26.40533902584584,22.442386264518202,23.602120919983474,20.601501170637654,19.75106734609558,17.519969701143093,19.7390166643713,16.386057935086995,16.945553872285725,17.03909011614562,18.22407381903319,14.818321626956802,16.362530413625304,14.127989716751596,15.866730936969194,15.310104209704816,14.387940136803929,13.340678510765274,15.944199605196713,14.123972822843504,13.717118854152321,14.302437680760228,14.265711793600513,12.745604370380573,14.603130881880366,12.609029977505395,15.227470963595463,13.268374420419594,12.850043611991001,13.595464352935776,14.340885093880548,12.205045218748566,12.482210898407015,12.889638709085066,13.881811504384153,12.021989624936877,13.53406326034063,11.878529128219254,12.88217876325575,13.291901941881285,12.039204884542992,11.734494789514759,14.050521048524079,12.269315521278061,12.70715695726025,12.190699169076803,12.466143322774641,11.54914382775559,12.945875223798375,12.434582013496764,12.965385851351972,11.91869806730019,11.745397787265299,11.50553183675343,13.260340632603407,11.488316577147318,11.705802690171234,12.735275214616903,13.865743928751778,12.22111279438094,12.354244135334893,11.314442455125556,11.982394527842812,11.607675710416379,12.631409814993344,11.368957443878253,13.197218014047651,11.416012486801634,11.418881696735987,12.16372859569389,11.766629940779506,12.114378184823027,12.110935132901805,11.2708304641234,12.796676307212046,12.378919340770326,11.428063168525915,11.274847358031492,12.590093191938667,11.769499150713859,11.313868613138686,11.417734012762246,12.111508974888675,11.255336730477895,12.616489923334711,12.046664830372308,11.553160721663684,11.391337281366203,11.293210301611348,11.566932929348575,12.957925905522655,11.197952531790847,11.676536748840839,11.998462103475187,12.230294266170867,11.232383051003076,1.0,1.0,2.0
9,2.2246060783391863e-05,332.20104002952576,True,0,2.0094003567670624,2.008757580839297,75.69918703864586,0.9522709578378732,94.06992733402758,14.839415680430818,0.8564756298231718,55.535674217100386,39.68724289306078,34.69900868194397,27.34668515439362,26.434764597920708,22.457985489819286,23.868154123204206,20.855651893745435,19.618086520260746,17.65386142259607,19.913813438889814,16.38522746232934,17.107859777111656,17.134900954496025,18.428274715348458,15.01015482512413,16.71892709813646,14.453221639846037,16.080870380705257,15.53889614461852,14.587852182568223,13.681685068091987,16.32596700976359,14.299029394335161,13.859466425789229,14.639057816338624,14.622948178747935,12.940641738920307,14.794400750248837,12.916477282534276,15.643608788957994,13.614945140930562,13.164450632590949,13.849685574394883,14.75297596787278,12.464832085795328,12.835353750381165,13.129354636411234,14.172453670408322,12.345160492264498,13.837603346201865,12.189242214154618,13.133957390008572,13.682260412291653,12.389461995638891,12.04425547583842,14.435385969656348,12.591407809722167,13.025217336271425,12.560914567139791,12.764586413822068,11.957953845888303,13.35546490688054,12.786449493409432,13.38538280526325,12.371050981249534,12.10754333780184,11.812391763372437,13.616095829329897,11.8095150423741,12.087981635013147,13.194943875173323,14.36059122369958,12.607517447312855,12.733517827040028,11.788227306986403,12.388886651439224,12.073598030021461,12.99012134009171,11.807789009775098,13.673630249296643,11.868775494939849,11.803186256177758,12.568969385935135,12.146091399179559,12.480941723386016,12.474612937189674,11.681788630047926,13.219683675759022,12.866997681362877,11.819295893768448,11.682363974247593,13.009683042880404,12.203050474946636,11.730117542819993,11.910200277315905,12.609818824111525,11.644966601269209,13.059737988251472,12.415927828823593,11.962556599485643,11.861871364543838,11.657624173661892,12.032748591845072,13.50678043139308,11.619651456483842,12.179461362760271,12.441818317808629,12.638010689895228,11.712281872630301,1.0,1.0,2.0
10,2.600054891759985e-05,330.13587951660156,True,0,1.9868605864658977,1.99552824694286,76.97718216373262,0.8909362692827526,94.00271012046257,15.872142028685937,0.8476110870263629,55.763025229384134,39.76872107578002,34.857776093522126,28.16056315384527,26.926080316027605,22.741470584857776,24.294622248251628,21.180854606630607,20.502176134862943,18.27551360227834,20.51767894259368,17.027824668986348,17.61865389694652,17.97636683088159,19.143670835199412,15.731904778309849,17.481999517690426,15.182990549029066,17.227638635293577,16.258426063090685,15.540703482964135,14.561729883671523,17.25175411398583,15.320219106349262,14.841928778952928,15.617069165489603,15.505678621053962,14.002480449236918,16.050573603886036,13.920947164134542,16.549534341590014,14.670249537786658,14.111574281416154,15.048632882029375,15.797935255681491,13.574143613417395,14.023725037608664,14.245357770351742,15.347779653426121,13.440360124481805,14.921739529863002,13.435766699968996,14.225261538108198,14.781065904158197,13.546583066340535,13.258345678161712,15.563670605528188,13.808408263570698,14.252247907120957,13.719410663635006,13.959417094429325,13.10848520343129,14.597328923645799,13.900276753826896,14.460100366325603,13.643619159173642,13.279016088469357,13.048196506700657,14.949300076939862,13.046473972508355,13.235378555597663,14.338948794800244,15.390843008233713,13.764196552634903,13.9485077112114,13.000539727380255,13.548305600532837,13.384664852263983,14.286124412902929,12.98388856352132,14.778195013837692,13.008004042213573,13.053364109277569,13.935875793801172,13.408206152892136,13.537396217314916,13.701611143647868,12.892594251329223,14.399811669594975,14.010518942134334,12.954605482252157,12.898910210034337,14.084013734339292,13.390980810969097,12.957476372572662,13.1607354072645,13.632135597891617,12.870201306829273,14.145450787198127,13.506390601853447,13.105614313110783,13.16418047564911,12.935657606136816,13.227340062700243,14.500867008876792,12.830008842342187,13.379497249687072,13.601129982430152,13.826207783557837,12.870775484893377,1.0,1.0,2.0
