epoch,lr,time_sec,is_best,early_stop_counter,train_loss,val_loss,val_mag_acc,val_mag_mse,val_sign_acc,val_mod_acc,val_mod_loss,mod_acc_2,mod_acc_3,mod_acc_4,mod_acc_5,mod_acc_6,mod_acc_7,mod_acc_8,mod_acc_9,mod_acc_10,mod_acc_11,mod_acc_12,mod_acc_13,mod_acc_14,mod_acc_15,mod_acc_16,mod_acc_17,mod_acc_18,mod_acc_19,mod_acc_20,mod_acc_21,mod_acc_22,mod_acc_23,mod_acc_24,mod_acc_25,mod_acc_26,mod_acc_27,mod_acc_28,mod_acc_29,mod_acc_30,mod_acc_31,mod_acc_32,mod_acc_33,mod_acc_34,mod_acc_35,mod_acc_36,mod_acc_37,mod_acc_38,mod_acc_39,mod_acc_40,mod_acc_41,mod_acc_42,mod_acc_43,mod_acc_44,mod_acc_45,mod_acc_46,mod_acc_47,mod_acc_48,mod_acc_49,mod_acc_50,mod_acc_51,mod_acc_52,mod_acc_53,mod_acc_54,mod_acc_55,mod_acc_56,mod_acc_57,mod_acc_58,mod_acc_59,mod_acc_60,mod_acc_61,mod_acc_62,mod_acc_63,mod_acc_64,mod_acc_65,mod_acc_66,mod_acc_67,mod_acc_68,mod_acc_69,mod_acc_70,mod_acc_71,mod_acc_72,mod_acc_73,mod_acc_74,mod_acc_75,mod_acc_76,mod_acc_77,mod_acc_78,mod_acc_79,mod_acc_80,mod_acc_81,mod_acc_82,mod_acc_83,mod_acc_84,mod_acc_85,mod_acc_86,mod_acc_87,mod_acc_88,mod_acc_89,mod_acc_90,mod_acc_91,mod_acc_92,mod_acc_93,mod_acc_94,mod_acc_95,mod_acc_96,mod_acc_97,mod_acc_98,mod_acc_99,mod_acc_100,mod_acc_101,w_mag,w_sign,w_mod
1,2.2954884127418003e-06,340.6417934894562,True,0,3.2441249018015386,2.435506363270308,68.84871035745965,1.8767122797571765,93.71248862418929,9.812849194189408,0.978171277032326,54.71563353185803,37.351250475192096,31.557362885481588,22.505673505592867,21.32489315377792,18.441485133687372,19.4442844471068,15.706682640800857,13.291554828527655,14.544333982282534,15.125508311541697,12.071031138041862,12.789867176610182,11.665533885516146,13.894616793576557,10.627599156750032,11.493888741691338,9.916250993583468,10.278548964945223,11.215685370995427,10.183510546384507,10.71802965198659,9.4088034375108,8.642736184869884,9.379427926319305,7.656640593500525,9.354084348036448,6.246616056308823,10.4847535337012,8.968746760053913,10.228437798795028,9.079336919833654,8.611056712016312,7.871485018489293,8.823597175343002,8.491826696003779,9.34141255889502,7.404356791502989,8.977962606702224,8.315573628854816,5.871070305390118,8.309237734284102,8.334581312566959,9.299941248977618,7.881276855553124,7.990139044086307,8.077113596829749,6.93319663160805,6.4971718870598,7.026507078922206,7.631297015217667,8.616240625755987,7.3375419033027285,7.410692686073704,5.98166046516986,7.275334938426625,6.416533228887071,6.913036967064869,9.392099715460734,7.08986602462935,7.847293421037474,6.679760848779476,8.569585402098909,8.257974587302867,7.123273468729481,7.529346711670717,4.773232573409978,8.646768117778521,6.4787401937631754,6.848526040526686,6.672272973377723,6.725840082021035,8.873708341493197,6.845646088449088,8.323637494672088,6.812238644348959,7.515522941698251,8.024122478601955,7.285126775490455,5.248424666213554,6.7125923024640874,7.00116350063935,6.467220385452786,9.318372942274241,7.753406983307798,5.26397640743258,9.518817606875022,5.964956743119795,7.94117985876715,7.573121983250199,3.185802988238276,6.536339235315124,6.244312094646745,7.14573709493474,8.157752255002476,6.32898268572811,7.293190641307729,8.372596679991245,7.961339523310332,5.028396327485111,1.0,1.0,2.0
2,3.1746775341284927e-06,334.7694389820099,True,0,2.4031118520242085,2.215792047130909,75.08277716674633,1.3930181040536582,93.93812010894915,12.724033882493853,0.9162078957063633,57.87261241859045,39.276397998376126,34.741648863577474,26.245112548154715,25.075003311086668,20.72049245936001,22.66913894471349,19.54347312837227,17.071962869762007,16.664267328500106,18.067016394197825,15.182628023885892,15.901853632693957,15.376686494797276,16.683270086779263,13.46259047904226,14.721955095906344,13.64685965023408,12.780794545632531,14.129414542292654,13.341663835447632,12.714572812235472,11.538705163567682,12.613224768079972,12.460051019526775,12.054083001744798,12.853926372949287,10.388750367098739,13.076776901859391,11.673451995001699,13.32726780644827,11.440236325212053,11.741401251878681,11.166135933064224,12.576946775001582,11.150588221744915,11.366528656735326,10.878215353077007,11.831232472834694,10.592022296569715,9.900437063440421,11.008355455231229,10.239607506665362,11.288214258978803,11.323340569737244,10.284523117143367,11.375166274134942,10.426180042497078,9.436884929661002,10.34728980358058,10.887428811636598,10.769957215001815,10.150927968029299,9.83536701236331,9.950535244358196,10.802780161120356,9.733443127047835,9.990844125556407,11.365952815575351,9.820395142203974,10.55516846233135,9.925198233319321,11.012962184511025,10.089312963912036,10.478581588054752,9.679889899170213,10.532134815932373,10.712948940164345,10.7319516984435,8.791942830489639,11.830080790514746,7.666749203899596,10.618510989928538,9.95226276783812,10.483188317334546,10.306405081222396,9.642460223771874,10.374930179259353,11.427567819692616,7.813012858533103,9.953990291318043,9.342446979425196,9.281407816467906,10.628300289648102,8.4999913623826,8.901928492044755,10.91737255195527,10.032880530234541,10.711797257844397,10.015029454275332,7.877507068450239,9.744384109087349,9.267587628628519,9.061436493357672,10.580505473370225,9.599272136773793,8.21034325891546,10.514859581133141,10.149200444549376,8.93129639120345,1.0,1.0,2.0
3,4.6159181809952e-06,338.0545196533203,True,0,2.2270945621113065,2.095268532061327,79.35186459336727,1.1758852033548184,94.1298564286042,14.488945461217375,0.8864239384880999,62.27867987706986,41.67756066235494,38.043553048025316,28.119122976010274,29.02275124994266,22.10793082886106,25.092885647447368,20.711779276179993,20.472111371038025,17.2927847346452,20.497912939773403,16.362781523783312,17.39140406403376,16.871932480161462,18.35064905279574,14.692559974313104,16.475161689830742,14.404155772670979,15.782532911334343,15.109398651438008,14.590500435759829,13.635269024356681,15.50272923260401,13.615201137562497,13.752236135957066,14.04408054676391,14.306109811476539,12.691504976835924,14.624902527406999,12.490826108894087,14.943121875143342,13.041259575248842,12.73450759139489,13.225310765561213,14.136966194211276,12.10494931425164,12.450690335305719,12.362965001605431,13.873216824916287,11.92032475574515,13.431723315444247,11.62446676757947,12.418581716435027,13.238498234025961,12.026971239851383,11.713912205862115,13.680565111692125,11.88420255951562,12.416861611852667,11.897390027980368,12.381312783817256,11.144557589101417,12.594605752029722,11.914017705609835,12.697812026971238,11.797050594009448,11.539034906655658,11.12792991147195,13.084262189807808,11.47596440530251,11.494885555708453,12.13075088298702,12.999403697078115,11.601532039814687,12.232237053346177,11.219095454336957,11.806797853309481,11.5138067061144,12.448396862529242,10.836085500665108,12.883583321865968,10.884821797165268,11.436975368102381,11.903123709921564,11.591211412320536,11.798197330397688,11.58547773037934,11.250630705013531,12.478212008623457,11.929498646851062,11.21278840420164,10.771868262923718,12.145085087840007,11.293059951378376,11.123342965918996,11.162905371313242,11.895096555203889,10.872207696894638,12.305054813999359,11.579744048438146,11.30280721067841,10.916357047841842,11.092954451630659,11.262098068895922,12.581418283564973,10.711664602541168,11.364157607449199,11.711045364891518,11.864134672721436,10.807990459153249,1.0,1.0,2.0
4,6.583721194081791e-06,337.3023507595062,True,0,2.1282443163453246,1.999994319725925,83.90314370227695,0.8091349017056719,94.09094035908372,15.631451927266058,0.8639832904369368,66.82316388067231,43.13132007979638,41.006856068423104,28.848226364907937,31.65428446951457,23.00337070922474,27.494783426199813,21.894705464217743,23.012542707115177,17.760427415101695,22.724771273302608,16.94755910206141,19.156864093921257,18.141065327554976,20.420306803329435,15.176217009470088,18.458645754511476,14.815069592533995,17.713420925913187,15.995964320928206,15.832588108504735,14.113411753915297,17.87221113939144,14.423539932585816,15.161312512898123,14.840292586732707,15.815963862328312,13.204810712893536,16.378321982985945,13.002453509435693,16.44481896769164,13.709843846735914,13.909334800852996,14.146660246268144,15.78615486918438,12.766274563756848,13.507486643278071,13.283345944830433,15.251885992066223,12.531242117814312,14.72392286349774,12.132833459448305,13.746531838297676,14.301437710669326,13.141753227396757,12.387929650776181,15.177363509206392,12.577102107266516,13.719015844626355,12.881497787255508,13.483983398683819,11.858246772603243,13.771754832496388,12.968058517346542,13.91908004861159,12.644745591708514,12.474490380867213,12.117928962876338,14.328380454472494,12.02735548370824,12.688312581688105,13.077549242163675,14.557107151865356,12.520350370319413,13.295957441929787,12.010731237531816,12.835637797803306,12.341496411455825,13.617550617963358,11.855380523262479,14.02570452408796,11.65359656967279,12.550159363463345,12.887230285937035,12.62812134553209,12.569076609112381,12.765128064020544,11.928756506386003,13.931118295842793,12.758249065602714,12.008438238059204,11.663915067299534,13.317167687051432,11.955699250189172,12.00499873885029,11.93448900506753,12.792070807823713,11.724679553323703,13.64735961110729,12.274999426750131,12.362133406709317,11.571621838526976,12.081814221182729,12.119075462612644,13.698378849372864,11.537800096305977,12.497420375593315,12.500859874802227,12.828758799385476,11.581367086285569,1.0,1.0,2.0
5,9.029631324311132e-06,338.7706518173218,True,0,2.0489588757205577,1.9244299112570855,85.0799708047655,0.6785770187812232,94.01612634410147,16.901345394566697,0.8367736745491294,68.53179004718363,43.74572559927816,42.106079850115805,29.649254889339716,33.68371446141114,24.166527778575986,29.00500571835794,22.928603858598514,24.317676335193475,19.00678731731427,24.330894650030746,18.01598841385969,20.643559519772875,19.25391233383716,21.74642674467388,16.227492945442844,20.090689133970493,15.7924379744944,19.219429773392108,17.097028177998975,17.287256969787528,14.887270762811708,19.438968741558956,15.570025459623796,16.50162930098103,16.063700783328834,17.271165108246507,14.276354733593486,17.787828805581576,13.899345406060885,17.80966776053011,15.024051585910424,15.047039959540461,15.34014172332343,17.113120039540004,13.667737541738264,14.69359371497865,14.60623789518451,16.643007798805755,13.468888109838451,16.073470842121598,13.153372681766196,15.287843173315096,15.450485916747606,14.422905615484968,13.460267469727185,16.68955925540658,13.96601168958799,15.227498692536251,13.993597737944036,14.508537307256855,13.080384595490829,15.280946661226086,14.214860834133136,15.20738386560997,13.755093361532406,13.893023603312624,13.101074131757864,15.994735662438723,13.03728139493451,14.01543669289257,14.35508991327636,15.916000482755846,13.68210527525704,14.683823656185885,13.013718311963723,14.060838730811891,13.597048292825903,14.918305067212255,13.046476744386526,15.725196981626544,12.96659214602215,13.641300912063722,14.090148907190189,13.938425641231946,13.905092499468394,14.41715852207746,12.909121211947058,15.225199855173246,14.010839018166562,13.289578795524163,12.85452382457572,14.90623617105649,13.363141591140282,13.316015425198705,13.05509738449779,14.249918103918944,12.944178481732862,14.852788202366654,13.612565445026178,13.596473583485153,13.10567180648387,13.3125671691542,13.286705248820411,15.1027867655933,12.745329049833046,13.824058482422515,13.873483485727093,14.236125079740921,12.73498428169953,1.0,1.0,2.0
6,1.1893420396509023e-05,336.6017642021179,True,0,1.9867671959332136,1.8964053084325736,85.3123583644573,0.7820680748318455,94.28351778225274,17.448609605112935,0.8253348477366917,68.51976156463171,44.15070308600541,42.620035226014465,29.987435672363645,34.126205515682464,24.39315444943575,29.382741547764525,23.357601418219996,24.673700395288662,19.574534001135955,24.78614825906611,18.27507271819762,20.988164288623835,19.781644607379103,22.213042804771003,16.48910231034463,20.61066074594241,16.28256541769218,19.681244729006387,17.699637986724266,17.667510025644997,15.45699156067308,19.83557368490502,16.147169010286685,16.971595440124382,16.493692019070238,17.67898429745902,14.771977533375788,18.1746728398249,14.435207655634155,18.171230558280698,15.535590322599152,15.553949157501593,15.817283695633467,17.754714491431585,14.108190908934443,15.475924109166222,15.125385105247757,17.171247769688417,14.169578263139476,16.457548062856063,13.87698433188184,15.684182142590775,15.9245681370946,14.894752241785856,13.988284768477879,17.20567058513049,14.33251292289863,15.700819836721111,14.559703504816326,15.07088231413114,13.802401565090674,15.904488161420055,14.833938601171523,15.967596656397193,14.336528918033538,14.659529669598342,13.725523943936707,16.478775465712005,13.594143531666122,14.46504076235062,15.082930299535866,16.55794794122878,14.533312679644068,15.08120915876376,13.453009988353614,14.659529669598342,14.237850180432924,15.560260006999304,13.713475958531982,16.25904316047343,13.648072609192038,14.312432947224089,14.655513674463435,14.587815470760686,14.597568601802607,14.885572824334636,13.488006517386392,15.83678995771731,14.847707727348352,14.00721731697102,13.463336832986236,15.439780152952043,14.174167971865085,13.978531637435959,13.930339695817054,14.833938601171523,13.621681784019781,15.445517288859056,14.27743641819131,14.069752098357458,13.867804914430618,13.976236783073153,13.898211734737783,15.803514569456636,13.35088896920879,14.285468408461128,14.440371077950465,14.950402460083879,13.47481110480026,1.0,1.0,2.0
7,1.5104570370061202e-05,339.33275151252747,True,0,1.9503914813142775,1.8785428059947644,82.5098427462989,0.7881584080199935,94.12946377178642,18.294545621992494,0.8142222894639713,68.85202495798126,44.790827251168466,43.283332949600535,30.678861695024523,34.83814150530702,25.028779959938298,29.95878709736836,24.09515805953998,25.514585683696726,20.353763267561533,25.47371814058435,18.95735961135542,21.690880206294754,20.49881426565054,22.87085856376488,17.341652660419495,21.44567494762047,16.93700642368706,20.593788133446917,18.39960398775125,18.511845831510605,16.15419151336541,20.491331476066584,17.030253493887137,17.68528538208275,17.312297101282432,18.397301590956186,15.542329565077246,19.10643980383579,15.316694679161005,19.044275090369077,16.433932723965647,16.363709621716207,16.75626827527456,18.6689844127737,15.030046278175579,16.279096539497615,15.88711348513803,18.097990007597907,15.119264153984297,17.587433518292542,14.814196578638365,16.613519673980615,16.79022862800175,15.670112587203278,14.879814887297677,18.20217346257454,15.211935624985609,16.54041857573734,15.652844611240301,16.107567978265376,14.710588722860498,16.782745838417792,15.82207077567748,16.851817742269702,15.184882462643612,15.370225404646238,14.670296778946884,17.426265742638087,14.630580434232035,15.374254599037599,16.09145120069993,17.48209886491838,15.350079432689428,16.096631593488823,14.419335528284943,15.54290516427601,15.046163055741028,16.424723136785392,14.47056385697511,17.196601662330487,14.531001772845531,14.970183961503924,15.5262127875118,15.347777035894367,15.388068979807981,15.796168811733013,14.545391752814679,16.700435152994267,15.718462919899615,14.921258029608822,14.403218750719498,16.391338383256972,15.043860658945963,14.902263256049547,14.802684594663043,15.63039624248843,14.606980867082633,16.4195427439965,15.112356963599108,14.893629268068059,14.707135127667904,14.756061059563006,15.029470678976814,16.627909653949764,14.301337692537933,15.17797527225842,15.273524739253563,15.731126102272466,14.351990422029331,1.0,1.0,2.0
8,1.8584009777570935e-05,338.55994415283203,True,0,1.9157467492458498,1.8449010087114275,83.8151548691598,0.8555487944291382,94.40968498563424,18.891198752100383,0.8035769481320321,68.73713246890287,45.28281327957883,43.780287085730016,30.942863860804138,35.38793276482024,25.353122329718474,30.396907778153725,24.49175044301583,25.756854558905335,20.749198557116067,26.147970155930107,19.40610071513365,22.071651001015066,21.029058397802412,23.270804539693646,17.898413171763977,21.97301187683873,17.65296232788333,21.076657510050296,19.162370321093288,18.890539246328274,16.74800571189347,21.34275375201436,17.52106117346149,17.9184850865673,18.097985353237025,18.880790030566658,16.262838856933126,19.726677868706737,15.90441180687377,19.805245078079746,17.06686241562627,17.12191681051539,17.291094378143406,19.14631278925063,15.705413108680816,16.79101695790059,16.55990319602232,18.519495564106826,15.706560075241004,18.139849632683962,15.539676440733372,17.104138828832447,17.35761843863442,16.259397957252556,15.494944744885963,18.656558068049524,15.90326484031358,17.066288932346175,16.32190763478291,16.701553566205778,15.293078630292534,17.511311957699874,16.411371026477724,17.35188360583347,15.950863952561464,16.028284195374283,15.243759068204366,18.04063702522753,15.319458861176901,15.967494967684217,16.707861882286824,18.213255492536113,16.087352973224064,16.72277244756929,15.318311894616713,16.29667437045873,15.713441874602147,17.119049394114917,15.316591444776428,17.78314303246489,15.238597718683511,15.54999913977508,16.309291002620817,16.090793872904634,16.003050931050105,16.444059573443138,15.099241281620435,17.297976177504545,16.327642467583857,15.514443176409193,14.973648443279636,17.04564353426276,15.73924862220642,15.472005413682163,15.668710178754738,16.371800680151168,15.13250331186594,17.089228263549977,15.841328646063324,15.623404999627235,15.391717754468868,15.374513256066018,15.550572623055176,17.323209441828723,15.034437670969702,15.80634616597753,15.90441180687377,16.29208650421797,15.09293296553939,1.0,1.0,2.0
9,2.2246060783391863e-05,335.34341192245483,True,0,1.8882355264403754,1.825074819108521,83.53413654618474,0.7836393366752759,94.26860958900163,19.427016530973248,0.7943103294711173,68.85735193283897,45.94561891756408,44.329397936077164,31.566726014531582,36.07024943389051,25.940778897512573,30.784256106203866,25.603706072496585,26.14187020679562,21.029310930954807,26.981383208587577,19.886720483080097,22.377026038155492,21.935086112023416,23.61987404424009,18.502705225493077,22.674341555605494,17.99623169867418,21.542698772133008,19.875772818677866,19.126722096420114,17.17688544709685,21.93566230488669,18.087846363934936,18.487148018184644,18.73145379221333,19.424037613870116,16.673292884594332,20.481927710843372,16.54134471890431,20.215726608010236,17.6170967946391,17.504162993437163,17.800326125160616,19.736910338628547,16.084999971190356,17.093913674785224,17.19762839017476,19.0898457531705,16.172581286408185,18.876078200895403,16.08960951409656,17.628620651904605,17.9795221056392,16.71305019216032,15.881603890454214,19.35374208455054,16.48314923971352,17.525482129378346,16.841541200670687,17.258128640818654,15.785379682287253,18.095336871157514,16.94698449465005,17.90634561200325,16.521754161552956,16.479115889670588,15.765212932072622,18.672105927295984,15.790565418056731,16.303953259234934,17.485724821812358,18.740672878025734,16.570730554931345,17.354352848985613,15.789413032330183,16.83059353626846,16.339101023894717,17.55371557967883,15.70932222433493,18.415700103138523,15.74504618185799,16.056766520889873,16.93718921597437,16.627773648395593,16.528668475912255,17.04148012422718,15.752536689080568,17.77439744631323,16.96484647341158,15.991656727339777,15.58198360155111,17.6078777088267,16.359843966972626,15.795174960962932,16.078085656831053,16.794293385882124,15.571035937148883,17.636111159127182,16.469896803858187,16.192748036622817,15.956508962679989,15.89139916912989,16.166819357775434,17.954745812518365,15.592355073090063,16.234810115641906,16.484301625440068,16.798902928788323,15.587169337320589,1.0,1.0,2.0
10,2.600054891759985e-05,340.1090204715729,True,0,1.8598478398110607,1.8005031669237006,85.6596140806546,0.7732212070201475,94.31809040028502,19.936986427315457,0.7858718412996587,68.84545987381195,46.89529150816545,44.457724707802285,31.650443037247307,36.90253180559227,26.06104834909726,30.77930883890913,25.711675266914142,26.55522737981681,21.27842965993587,27.760219737280632,20.307310401893968,22.932205532506636,22.681093629687517,23.945847172261615,18.95234045487456,23.224115936699114,18.370243526829324,22.119683265718916,20.376265615482744,19.694183627733786,17.61805707193178,22.7862503304104,18.604116626251248,18.920735981979707,19.289646374679645,20.094698493328583,17.17904221208325,21.269235631457367,16.90092285060853,20.617034236263546,18.359900244791007,17.90019882086585,18.283474883063448,20.564168572512152,16.52511693654971,17.639892889568227,17.858825692712582,19.550526932757172,16.59637065725811,19.6597060209394,16.43317665176468,18.05822118534012,18.64261662050498,17.218116833116888,16.325721443922173,20.01080298346224,16.97734821233609,18.134071920287774,17.41061680438555,17.732407801133164,16.16252743842874,18.580556928275087,17.449116798639285,18.40472113362371,17.17616907818372,16.906669118407596,16.17057221334743,19.564892602254837,16.241251307275924,16.84116166549826,17.962258513095744,19.218392653971243,17.22960936871502,18.105915208072357,16.155057290289957,17.354878006734626,16.92218404146507,18.15935549860366,16.194131911323595,19.03278820406146,16.218266236079668,16.51764678841093,17.587027225816833,17.116982519853355,16.992288508613658,17.746773470630824,16.152184156390426,18.3236987576569,17.430728741682277,16.434325905324492,16.0251916380311,18.35817636445129,16.73715421833519,16.406169193109076,16.626825876593152,17.40429590980658,16.026340891590912,18.32427338443681,16.85725121533564,16.770482571569765,16.369393079195063,16.301587119166104,16.52224380265018,18.61043752083022,15.952214036982978,16.91356463976647,17.09629595577672,17.34625860503603,16.03668417362923,1.0,1.0,2.0
