epoch,lr,time_sec,is_best,early_stop_counter,train_loss,val_loss,val_mag_acc,val_mag_mse,val_sign_acc,val_mod_acc,val_mod_loss,mod_acc_2,mod_acc_3,mod_acc_4,mod_acc_5,mod_acc_6,mod_acc_7,mod_acc_8,mod_acc_9,mod_acc_10,mod_acc_11,mod_acc_12,mod_acc_13,mod_acc_14,mod_acc_15,mod_acc_16,mod_acc_17,mod_acc_18,mod_acc_19,mod_acc_20,mod_acc_21,mod_acc_22,mod_acc_23,mod_acc_24,mod_acc_25,mod_acc_26,mod_acc_27,mod_acc_28,mod_acc_29,mod_acc_30,mod_acc_31,mod_acc_32,mod_acc_33,mod_acc_34,mod_acc_35,mod_acc_36,mod_acc_37,mod_acc_38,mod_acc_39,mod_acc_40,mod_acc_41,mod_acc_42,mod_acc_43,mod_acc_44,mod_acc_45,mod_acc_46,mod_acc_47,mod_acc_48,mod_acc_49,mod_acc_50,mod_acc_51,mod_acc_52,mod_acc_53,mod_acc_54,mod_acc_55,mod_acc_56,mod_acc_57,mod_acc_58,mod_acc_59,mod_acc_60,mod_acc_61,mod_acc_62,mod_acc_63,mod_acc_64,mod_acc_65,mod_acc_66,mod_acc_67,mod_acc_68,mod_acc_69,mod_acc_70,mod_acc_71,mod_acc_72,mod_acc_73,mod_acc_74,mod_acc_75,mod_acc_76,mod_acc_77,mod_acc_78,mod_acc_79,mod_acc_80,mod_acc_81,mod_acc_82,mod_acc_83,mod_acc_84,mod_acc_85,mod_acc_86,mod_acc_87,mod_acc_88,mod_acc_89,mod_acc_90,mod_acc_91,mod_acc_92,mod_acc_93,mod_acc_94,mod_acc_95,mod_acc_96,mod_acc_97,mod_acc_98,mod_acc_99,mod_acc_100,mod_acc_101,w_mag,w_sign,w_mod
1,2.2954884127418003e-06,345.04077434539795,True,0,6.170426201008056,4.711983681280205,34.59059098201809,9.335197139556973,92.15052588601299,10.3391145333157,0.9426650756729357,50.59834269711381,37.24273564236301,30.65147759880849,21.540337096097115,20.686383318861164,19.274053031392146,19.879583891614004,15.30503688965307,13.91858398937302,13.858778472314071,13.317653553540316,13.555150462630177,13.181365981011748,12.688545518324066,13.791497265622754,10.610878853574242,12.368240970229504,10.758667487075682,12.594811871395137,11.633323174062808,9.449846748362537,10.462515167024158,12.554558157990076,9.063986152722588,10.103107011621821,9.695969453182055,9.683318286111895,9.15024411001915,10.21639246220464,9.016831802733801,11.055969913224494,9.445246323973388,9.645364784901407,10.386608164603185,10.374532050581667,7.031748678815621,9.172671178916254,8.756332771698188,7.131232856230987,7.741939193890636,8.11802388770364,8.368171963863666,8.357245955939435,8.216933012070363,8.01048896760726,7.983461474321006,10.354980246927779,7.825321885943978,9.541280183096891,8.496983846759862,8.308941499853361,8.12262431209279,6.901211636773493,8.072019643812142,9.710920832446792,8.58726717539693,8.026590452969286,8.217508065119008,9.597635381863977,8.052467840158254,6.74077183620189,6.502124821014739,10.619504649303899,7.913880055435114,9.018556961879733,6.591258043554518,7.039799421496633,7.709736223166587,7.258319579981254,8.042691938331311,5.481980712720748,7.077177869658476,8.061668688936555,7.644755228669845,7.607376780508002,7.655106183545432,8.16230297244921,7.832797575576348,8.514235438219176,7.057051012955945,8.140450956600747,7.672357775004744,7.860400121911246,8.093871659660604,7.530894725038386,7.948383238353738,7.837973053014141,7.475689632368586,8.565415159548468,8.255461566329494,7.543545892108547,7.457862987860631,7.35320333300747,7.777592482906548,9.42914483861136,7.479139950660449,7.226691662305848,6.264052858876232,7.52399408845466,7.480290056757736,1.0,1.0,2.0
2,3.1746775341284927e-06,380.15768218040466,True,0,4.46531216370622,4.255201359150434,53.682169427550534,5.684930748614859,93.60690921017049,12.390743223415825,0.909021273550249,53.170653118293174,39.11862690380156,32.56845630246782,24.34564463138029,24.44576143431705,19.928422239739465,19.438770519629223,20.14534197943578,18.287427285856488,16.478995609820654,19.116555521671835,14.725225406652589,14.358705846476061,15.97035622018792,17.048050311570396,11.695253658003303,15.391519991714473,13.388033165129432,14.739034620850763,14.169404535176097,11.19409425939458,12.59342796480952,13.808638814248809,13.068119702871742,12.65096635730191,12.484680402998901,13.535331449909952,10.40121521084944,13.217144139427035,11.750490514795997,13.805761894624188,11.321254106802764,11.81723505008717,12.657295580476072,12.231511476032383,9.242967369977617,11.641167569060455,10.661288744915044,10.791325511947846,11.274072624959004,11.667059845682031,10.212489283474397,9.222253548680357,10.410421353648221,8.681392659251886,8.254457786958348,10.284412274089886,8.198070162315805,9.920194249613054,9.89602812476625,8.785537149663112,8.456417544606639,9.908686571114576,9.607185394454449,10.953008394851464,10.046778713096312,9.840791267973556,10.509962772660057,11.763148961144324,10.528375058257621,9.461037877523777,8.940315425467643,12.885722998670863,10.191200078252214,11.200998866493668,7.97769811906995,10.147470899957996,7.975396583370253,9.222828932605282,7.703239986881247,11.511130802027653,7.626138540941444,9.947237294084479,10.501907397711124,8.021427297364166,10.541033504605949,10.665891816314437,10.484070496038482,9.821228214526142,8.448362169657704,9.629049983601558,9.841942035823404,10.157252426681703,10.321236845285016,9.886821981967469,8.114064109276915,10.15667704275678,8.7130387751227,11.31607565147845,10.196953917501453,9.436871752676975,10.139990908933987,8.59393430266345,8.299913117027337,11.255084955436514,8.630183489933659,8.600263525837615,8.348245366720944,8.106584118252904,10.230901569071964,1.0,1.0,2.0
3,4.6159181809952e-06,367.97642755508423,True,0,4.1707849731678595,4.013345563231303,60.593898180692285,4.343696176650683,93.7267426192756,14.20482549438956,0.8913177441246157,53.69853274237846,39.48694719822026,34.22454373964348,27.196729489068673,26.089549158003976,22.22903897205961,22.992196414134757,20.974502170211057,19.796797146903508,18.29628397942743,19.79450366097691,16.12148594953184,16.631786568199672,16.279163106985383,17.37831623730699,14.850894746197113,16.186276926958207,14.524646373138692,16.171369268435328,14.786103768770747,14.58083677834032,13.50920547913788,15.244227582608497,14.006318553727775,13.312539060932188,13.780410189957973,13.884763799618135,12.677243459264822,14.47533642571686,12.653161857035556,14.813625599889912,13.299924888335903,12.827466787456926,12.963929200089447,13.725366527719643,11.492084606695832,12.377370174362268,12.680110316673069,13.329740205381665,12.073483289088168,13.067136066786311,11.689324396383173,12.3148726828625,13.070576295676206,12.126233465399897,11.111939314362381,13.557368683596415,11.951355163496878,12.949021541566566,11.990917795730676,12.35271520065135,11.670403137488748,12.276456793592,12.191024442826262,12.957622113791304,11.120539886587121,11.329247105907445,11.410092484819991,12.932967140080386,11.253562070329746,11.306885618123125,11.940461105345543,13.412305698739155,11.91981973200617,11.940461105345543,10.791998027602103,12.149168324665869,11.435894201494207,11.963395964611511,11.066069595830443,12.728273521131605,10.72548693573079,11.227186982173881,12.088390947611048,11.340141164058783,11.884844071625565,11.61478610376877,11.306885618123125,12.314299311380852,11.483484034471093,11.316632933311164,11.012172676555414,12.203638615422546,11.609052388952279,10.976623644693161,10.949101813573996,12.049975058340548,10.732367393510582,12.113045921321964,11.513872722998505,11.299431788861686,10.878577121331139,10.852775404656924,11.605612160062382,12.035067399817668,10.698538476093276,10.77938385500582,11.340714535540432,11.86592281273114,11.269616471815924,1.0,1.0,2.0
4,6.583721194081791e-06,368.97988057136536,True,0,3.9818490203133696,3.8599761142997164,64.43795721107708,3.148517721603582,93.86669118534397,14.91787583971681,0.8799765905900939,57.95238396248642,40.570174178384875,36.28208738226725,27.662239896102104,27.78579104340381,22.802944539901272,24.529212663130615,21.380669704684024,20.807162518604507,18.392455909480105,20.678439462811106,16.36851571972853,17.14372733698432,17.28969008775005,18.8200003447939,15.258279363510463,17.156944436463103,14.816368515719727,16.77709649057276,15.380681197814006,14.961181953487305,14.00495353902205,16.296109000844744,14.250331864128219,13.911284529672388,14.446864386812782,14.567542251619095,13.346971847578109,15.350799059861966,13.309044518638983,15.680077233833476,13.728543762965687,13.364211542550441,13.629702845124328,14.330209117500015,12.459702213002178,13.037231994575244,13.005051230626893,14.19344087071953,12.653936109690434,13.868759948740642,12.301671675755816,12.911956877776309,13.509599636817093,12.562565726337082,12.129274726032515,14.365263163943753,12.572334886821402,13.122855812937818,12.300522362757661,12.752202371032714,12.33844969169679,12.940115046231115,12.858513823362086,13.452708643408403,11.972393501784309,12.16260480297902,12.101116557577708,13.661883609072678,11.901136095898677,11.844819758989065,12.5930225207882,14.153789572283168,12.522339771401644,12.52061580190441,11.624151663343236,12.526362366895189,12.025836556198533,12.713700385594512,11.974692127780619,13.563042691231317,11.807467086549016,11.839647850497364,12.593597177287277,12.126401443537125,12.457978243504945,12.254549842831446,11.82125884252688,12.943562985225581,12.428096105552907,11.709200825206732,11.581627082411488,12.807944051443249,11.981013349270473,11.74712815414586,11.956303119810133,12.420050914565818,11.456351965612555,12.740134584552084,12.194785566927369,12.089623427596155,11.436813644643914,11.547722348965905,11.928719607854404,13.005625887125971,11.466121126096876,11.406356850192797,11.897113500405133,12.275812133297322,11.636219449823868,1.0,1.0,2.0
5,9.029631324311132e-06,360.9256935119629,True,0,3.8470620104373716,3.7174354237921716,65.47450160531622,2.972794297064532,93.89003440373558,15.880454198232142,0.8633571733418111,61.232905823363524,41.41256339419559,38.63729043300461,28.61655629519439,29.774451636618437,23.431873136942947,26.458138292678722,22.188399221177537,22.20792721800711,18.544130401070593,22.040790539259888,17.304102602392753,18.445916064074805,18.223641511926438,20.417095038165748,15.862476954091978,18.231682451797436,15.330051864062169,17.880178508865136,16.19272984165092,15.88143059807362,14.636233623764424,17.97322367022957,15.289847164707165,15.056659908448156,15.404717734292886,15.689596746865469,13.79078623161353,16.330000172305855,13.72071518416624,16.960639599331454,14.381220959284127,14.115295590693187,14.724683962345427,15.895215066423907,13.246874084625148,13.753453296498172,13.693720600313597,15.3909332659426,13.368062535538083,14.847021118954217,13.022302121085067,14.101511122342899,14.350780258343912,13.36059594851501,13.11879339953707,15.17727400651316,13.378400886800797,13.83213963666439,13.258935494431649,13.626521317105949,12.914898138522421,14.114721237845258,13.557598975354521,14.377200489348626,13.038384000827069,13.03321482519571,12.742592284143841,14.493794117478132,12.686305705046838,12.970610364771492,13.494994514930303,15.231263174218448,13.34451406877301,13.596654969013663,12.751781929710699,13.457661579814944,12.867226852144345,13.74081753384374,12.661034179737978,14.36801084378177,12.643229241452195,12.73053087433734,13.301437605178364,12.860334617969201,13.075142583094499,13.145787983389715,12.743740989839697,14.002148079651253,13.494994514930303,12.449097978852327,12.604747600640978,13.887851862913461,12.725361698705983,12.580624781027977,12.592686190834476,13.102137166947141,12.419805983607969,13.730479182581027,12.925810842633062,12.885031790430132,12.528358671866474,12.621403833230907,12.638634418668765,14.049245013181396,12.40257539817011,12.399703633930468,12.679987823719625,13.172208214394432,12.398554928234612,1.0,1.0,2.0
6,1.1893420396509023e-05,366.43541193008423,True,0,3.7209492650362526,3.5644217242461838,63.95002700932109,2.916893520839915,93.96657740181824,16.655705862746675,0.8446084100653323,63.21790200788442,42.14718355994345,39.85426459940005,29.145356120771893,30.980840622018917,23.760157228728723,27.142069028928706,22.569448435183375,22.95964692496006,18.85940211707104,22.78667233670854,17.791097268035905,19.36395922167182,18.87319411081867,20.876481202661854,16.24696863470755,19.136965991242082,15.810222166032617,18.43874630776834,16.74175641040376,16.45212454170354,14.976955877113335,18.529543599940233,15.758502189479007,15.692990219177766,16.075718045674485,16.546369832312344,14.385049478777571,16.993460296298,14.160929580378589,17.413541439194546,14.851103934166215,14.868918592756906,15.31141172549335,16.692909765880906,13.804636408564827,14.498833427195512,14.368958819405336,16.163642005815625,13.865551047616858,15.6855195558978,13.610973829691863,14.961439884147252,15.070626501315987,14.108060271012675,13.512131207833852,16.046984725366926,13.956923006194904,14.785591963864977,13.892560368705967,14.48906409829094,13.39432459457285,15.122346477869597,14.321836174100936,15.148781132552552,13.809808406220188,13.770731090601906,13.50580987736619,15.382095693449951,13.467881894560207,13.827048398404726,14.592504051398164,15.883779466019977,14.027032307745355,14.336777500660865,13.336283287551575,14.173572241313916,13.481673888307839,14.789039962301883,13.223648671945936,15.410829013757512,13.363292608640684,13.495465882055466,14.252876205362785,13.761536428103485,13.871297711678372,14.094268277265048,13.528221867206087,15.0303998528854,14.521820083441561,13.354672612548416,13.48742055236935,14.97925454273794,13.567873849230521,13.615571160941073,13.443745905501855,14.037376303056076,13.265599319594976,14.883285252910685,13.839116392933901,13.656947142183961,13.498339214086222,13.578217844541243,13.689703127334582,15.281529072373488,13.388577930511339,13.475927224246325,13.727631110140564,14.329881503787051,13.311572632087074,1.0,1.0,2.0
7,1.5104570370061202e-05,377.9479842185974,True,0,3.5925221969099606,3.43534109728439,64.81072238326206,2.8427729429458433,93.80478144821053,17.493591252188388,0.8320561181125041,64.84171856613953,42.95209941738656,40.785810636282754,29.457279797950807,31.47891972562638,24.114456275292024,27.760525787102143,22.851074821341445,23.455500387452286,19.4053324914617,23.36480785236633,18.309560026404156,19.878885285423184,19.417386562580717,21.322503802772435,16.9864822202451,19.640673879975893,16.482507246792753,18.954165829578397,17.571965674597482,17.22756364262549,15.77189105415722,19.157363028441868,16.403868782825818,16.415348850558217,16.852165427776026,17.135149097379674,14.929828085985708,17.740722670263754,15.071032919094224,18.100622793674486,15.877507677295297,15.612892116063485,16.03134058490945,17.326292225124128,14.500473552793961,15.317854375340815,15.379272737709151,16.848721407456306,14.637086358809517,16.474471199380076,14.463163332663662,15.736302844186781,16.02158252733691,14.966564302729385,14.433315156559424,17.0008323049106,14.903423930201187,15.635278248141665,14.891943862468787,15.304652297448554,14.355824699365726,16.024452544270012,15.233475877507678,16.06520678472003,14.704244755044055,14.681858622965876,14.351806675659388,16.189191516229943,14.373618804350945,14.751887036133512,15.611170105903623,16.804523146686563,14.978618373848407,15.277100134890794,14.334012570674167,15.037740722670264,14.588870074333437,15.546881726602187,14.21347185948397,16.286198088568725,14.24332003558821,14.466033349596763,15.190425623511178,14.737536951468014,14.898831903108228,15.030278678644205,14.270298194759349,15.919409924518554,15.47627931004793,14.487271474901704,14.26168814396005,15.830439399592459,14.732370920988433,14.496455529087621,14.359842723072067,15.1135091697041,14.210027839164251,15.75868897626496,14.798955313836352,14.697356714404616,14.632494331716558,14.465459346210144,14.737536951468014,16.264385959877163,14.324828516488248,14.81904543236805,14.916626008093449,15.273082111184454,14.336308584220648,1.0,1.0,2.0
8,1.8584009777570935e-05,384.3731014728546,True,0,3.4831617548497666,3.3468403324953195,64.5724067808294,2.6711089169973823,93.9056405425123,18.099983340896948,0.8220035364380816,65.76324542305505,43.31366793237553,41.285278522969456,29.737647849539577,32.096347060817216,24.41420274702865,28.103332395062015,23.454293740198416,24.097105337231948,20.04951774768927,24.018979888441454,18.648429735924495,20.519993795920243,19.967371136093384,21.95842117659224,17.2841066412376,20.172450439168426,16.78835471251558,19.480235984811493,18.007341494378988,17.727009001660164,16.050184111811305,19.724952464111123,16.94977567656064,17.177258600980014,17.496653818094085,17.806283354109343,15.501582614789836,18.40773441943026,15.407372514777773,18.769639071915627,16.441960259422448,16.161627766703624,16.64876291798551,17.943577341322044,15.116699889130796,15.897379925206373,16.011695839245398,17.46161225650423,14.993192745822299,17.048006939378098,14.831197329947898,16.31615530879658,16.543638233215955,15.53375191723298,14.948385503133634,17.63509670896547,15.638302150173198,16.30638962769777,15.47171111966406,15.94678278252977,14.820282745190402,16.6568052435963,15.813509958122463,16.57350972834173,15.24767490622074,15.22871799585246,14.842686366534735,16.959541357659454,14.819708293361062,15.323502547693863,16.24319992647017,17.648883552869673,15.779042848361952,15.950803945335165,14.836367396411973,15.695747333107382,15.172421716576956,16.40002527588049,14.832920685435925,16.993434015590623,14.882323542759321,15.187357464139845,15.830743513002718,15.553283279430602,15.69172617030199,15.90944341362255,14.894387031175501,16.69127235335681,16.06454540754485,15.109806467178693,14.894387031175501,16.48619305028177,15.469413312346694,15.122444407424215,14.995490553139668,15.898528828865055,14.99721390862769,16.520085708212935,15.654961253224112,15.38496889343344,15.184485204993134,15.184485204993134,15.429201684292766,16.835459762521616,14.972512479965994,15.510773844059306,15.703789658718167,16.00824912826935,15.017319722654657,1.0,1.0,2.0
9,2.2246060783391863e-05,366.03726077079773,True,0,3.398359148774511,3.252544091660985,66.21772320710032,2.3721300760247104,93.96944195350763,18.834971603320227,0.8117373989541539,66.32291738520614,43.590627946011814,42.00351796923501,30.09070842243223,32.76425007472811,24.664873192154698,28.770895127727574,23.708353452438434,24.569451150812814,20.316847163781013,24.639580602883353,19.02864960566554,20.98480145317422,20.47894966774735,22.491435009542204,17.92382331976731,20.712906118507277,17.312202524660275,20.16911544917339,18.46818882067554,18.31298429560139,16.568945299027384,20.396173921041136,17.47085603918052,17.674921248074313,18.029017497873124,18.35724632682624,15.996987882550412,19.00968016371203,16.013657998206526,19.294221793014646,17.059851463521188,16.81209905497689,17.19263755719574,18.76940056563427,15.736589179370444,16.537904394012553,16.601710698765263,18.141109654871123,15.675657032489482,17.883585109562897,15.557241728173645,16.941436159205352,17.348416913844243,16.300498953806535,15.675657032489482,18.488882757352094,16.390172679404934,17.039157526844633,16.26198523832517,16.747143087075486,15.688303327125153,17.531213354487136,16.67356464555885,17.438665471016993,16.29762479593479,16.084937113425767,15.571037685958014,17.90197971994206,15.753834126600905,16.157940723368053,17.169069462647442,18.456692189188566,16.572394288473475,16.950633464394933,15.7112965900991,16.505713825849025,16.098158239635787,17.250695546204962,15.715320411119544,17.943942424869512,15.740613000390885,16.040100250626566,16.79542893932078,16.55457450966867,16.45397898415764,16.6965579085328,15.715895242693891,17.559954933204573,16.977075716814973,16.04239957692396,15.712446253247798,17.465107723437033,16.335563679841805,15.965946977535584,16.031477777011336,16.80347658136166,15.769929410682671,17.50592076521579,16.506288657423372,16.305097606401326,16.130923639373663,15.9578993354947,16.254512427858636,17.8163298153641,15.828562231266238,16.43328504748109,16.571819456899128,16.958106274861464,15.796946494677059,1.0,1.0,2.0
10,2.600054891759985e-05,386.09024596214294,True,0,3.3297307256980213,3.1916213904326396,63.66646927265096,2.860701516742775,93.99941356729316,19.394939430700326,0.8033435745067175,66.8929990283615,43.97670367325349,42.01675357752698,29.957512375454915,33.34789832866679,24.76240851362306,28.902508437156836,24.15240351169703,24.752634635175614,20.437179833614092,25.06022433925707,19.25569040952551,21.219665043436265,20.69819988156359,22.692646018869333,18.208160613569593,21.288082192568403,17.707968010670776,20.379111496955723,18.945226035312448,18.653159549941645,17.141657994745103,20.906900933117925,17.7844342361714,18.044304416068258,18.434684619939862,18.691105195678794,16.712757211110024,19.528209138001415,16.607544284293375,19.815101217135332,17.58033265682763,17.63150178517015,17.75798727096066,19.256840277578146,16.412641649370734,17.193402057113946,17.204900737640354,18.600265619520158,16.29995458021192,18.35879332846556,16.20221579573744,17.716017087039262,17.933917083014723,17.050818418586466,16.333875687764827,18.988921021312805,17.04276934221798,17.78385930214508,17.02954585961261,17.368756935141693,16.33560048984379,18.033380669568167,17.30666406029908,17.99026061759413,17.034720265849494,16.770250613742075,16.34882397244916,18.44273369630835,16.445987822897322,16.71620681526795,17.713142416907658,18.915904399970103,17.14913213708727,17.598730545669884,16.448862493028926,17.273317886772492,16.84039256495317,17.649899674012406,16.47703426031863,18.49390282465087,16.559824760108775,16.8495915093743,17.483168806379467,17.179028706455934,17.165805223850565,17.370481737220654,16.458061437450052,18.100647950647662,17.659673552459857,16.699533728504655,16.544876475424445,17.83387856243496,17.06749150534976,16.674236631346552,16.773125283873675,17.45097250090552,16.509230565792578,17.966688322514994,17.22387356050893,17.011147970770356,16.763351405426228,16.65698861055694,16.98125140140169,18.37259174509725,16.570173572582547,17.24514611948279,17.30608912627276,17.63150178517015,16.67941103758344,1.0,1.0,2.0
